Genre,ResolvedTrackCount,TSOccurrenceCount,ArtistOccurrenceCount
still fail,44,0,61
total fail,44,0,61
uncool,44,0,61
ur so faaaail,44,0,61
ur so lame,44,0,61
‟ur so fail”,44,0,61
touhou,44,0,59
東方project,44,0,59
cowpunk,44,0,48
turkish folk,43,43,6
russian hyperpop,43,43,1
bases de freestyle,43,43,0
deep pop edm,43,43,0
funk viral,43,43,0
javanese dangdut,43,43,0
lilith,43,43,0
pakistani indie,43,43,0
phonk brasileiro,43,43,0
taiwan punk,43,43,0
pixel,43,31,29
texas country,43,13,114
latvian,43,0,217
pakistani,43,0,143
italia,43,0,123
proto-prog,43,0,82
traditional doom metal,43,0,76
acting,43,0,73
ominous,43,0,73
playful,43,0,69
popular music,43,0,53
british singer-songwriter,42,42,0
canadian singer-songwriter,42,42,0
deboxe,42,42,0
funk 150 bpm,42,42,0
japanese alternative rock,42,42,0
malaysian hip hop,42,42,0
muziek voor kinderen,42,42,0
thai indie,42,42,0
portuguese rock,42,37,5
japanese punk rock,42,36,7
pinoy rock,42,35,132
latin folk,42,18,91
retro pop,42,18,72
indie r & b,42,17,37
contemporary jazz,42,3,107
orchestra,42,2,136
series title as artist,42,0,187
french composer,42,0,123
lithuanian electropop,42,0,116
ibiza trance,42,0,101
satire,42,0,94
singing,42,0,72
black sabbath,42,0,71
heavy blues,42,0,71
proto doom,42,0,71
proto-doom,42,0,71
reunion,42,0,71
untied kingdom,42,0,71
bombastic,42,0,62
glorious,42,0,62
kind of magic,42,0,62
langham 1 studio bbc,42,0,62
medley,42,0,62
platinum,42,0,62
queen,42,0,62
queen family,42,0,62
rx27,42,0,62
sa-town anthem,42,0,62
cologne indie,41,41,0
finnish heavy metal,41,41,0
jamaican dancehall,41,41,0
sgija,41,41,0
orchestral soundtrack,41,35,12
nasheed,41,29,19
neoclassical,41,5,78
trap metal,41,3,124
canada,41,0,190
death by pneumonia,41,0,181
mezzo-soprano,41,0,121
trinidadian,41,0,104
chrismas,41,0,71
duets,41,0,71
garland,41,0,71
motion picture producers and directors,41,0,71
motion pictures--production and direction,41,0,71
my way,41,0,71
fabloo,41,0,68
gorillaz,41,0,68
virtual band,41,0,68
batidao romantico,40,40,3
anadolu rock,40,40,0
carnaval,40,40,0
dark trap,40,40,0
folk rock italiano,40,40,0
j-idol,40,40,0
latin afrobeat,40,40,0
neo-singer-songwriter,40,40,0
r & b argentino,40,40,0
jazz funk,40,15,40
battle rap,40,2,279
chamber music,40,2,70
essentials,40,0,150
mick jagger,40,0,150
some girls,40,0,150
the-rolling-stones,40,0,150
death by liver cancer,40,0,115
flop,40,0,111
scumbag,40,0,111
experimental electronic,40,0,103
caribbean queen,40,0,99
spanish composer,40,0,95
urban pop,40,0,80
blues-rock,40,0,67
crooner,40,0,67
vivo en el 6,40,0,62
matthew edward hall,40,0,41
australian talent show,39,39,0
chinese electropop,39,39,0
classic venezuelan pop,39,39,0
finnish punk,39,39,0
gaita zuliana,39,39,0
hong kong rock,39,39,0
j-pixie,39,39,0
peruvian rock,39,39,0
pop electronico,39,39,0
russian punk,39,39,0
slovak rock,39,39,0
swing music,39,20,117
red dirt,39,15,89
christian alternative rock,39,14,35
rap tunisien,39,14,33
latin folklore,39,11,78
texas blues,39,1,182
argentina,39,0,174
vocal pop,39,0,149
italy,39,0,115
art song,39,0,109
death by stroke,39,0,102
argentinian,39,0,87
religious,39,0,74
death-doom metal,39,0,69
death doom metal,39,0,43
cueca chilena,38,38,0
german viral rap,38,38,0
gothic symphonic metal,38,38,0
partyschlager,38,38,0
pop costarricense,38,38,0
swedish indie pop,38,38,0
t-pop girl group,38,38,0
forro de favela,38,37,1
chinese rock,38,24,253
twee pop,38,24,25
puerto rican,38,0,286
lithuanian r & b,38,0,147
death by lung cancer,38,0,141
nigeria,38,0,133
arrangers,38,0,113
glam rock music,38,0,113
glam rock musicians,38,0,113
add release,38,0,111
lithuanian alternative,38,0,103
spain,38,0,90
pop-soul,38,0,78
african,38,0,77
virtuoso,38,0,75
post punk,38,0,73
jose jose,38,0,59
soy asy,38,0,59
+australia (sydney,38,0,53
best rock,38,0,53
capa,38,0,53
not electronic,38,0,53
not happy,38,0,53
not party,38,0,53
relaxed,38,0,53
volts,38,0,53
bergamo indie,37,37,0
pop house,37,37,0
post-punk argentina,37,37,0
uk dancehall,37,37,0
viral trap,37,37,0
rock quebecois,37,29,31
city pop,37,18,162
golden age hip hop,37,16,57
anime rap,37,14,37
ethereal wave,37,9,47
country rap,37,4,35
hymns,37,2,39
poetry,37,0,222
eurovision 2022 artists,37,0,177
arrangeur,37,0,141
mc,37,0,137
death by heart failure,37,0,93
adult alternative pop,37,0,78
birdsong,37,0,59
glam punk,37,0,59
urbano,37,0,57
pop folk,37,0,49
music for people who dislike music,37,0,38
k-indie,36,36,4
indie rock italiano,36,36,0
jewish pop,36,36,0
modern bhajan,36,36,0
modern blues rock,36,36,0
nyc pop,36,36,0
rap mineiro,36,36,0
sunnlensk tonlist,36,36,0
taiwan idol pop,36,36,0
miami bass,36,17,72
j-r & b,36,12,179
italian tenor,36,6,173
piano blues,36,2,97
tenor,36,0,186
pop-folk,36,0,175
davido,36,0,109
davido adeleke,36,0,109
gobe,36,0,109
nigeria music,36,0,109
skelewu,36,0,109
wizkid,36,0,109
bb12b20e,36,0,102
avant-prog,36,0,89
french electro,36,0,80
progressive electronic,36,0,70
happy,36,0,64
alien lives matter,36,0,63
festival trap,36,0,62
y2k,36,0,55
oratorio,36,0,49
kurt cobain,36,0,38
legendary,36,0,38
nirvana,36,0,38
northwest,36,0,38
norteno sax,35,35,5
australian reggae fusion,35,35,0
bolobedu house,35,35,0
finnish reggae,35,35,0
funk das antigas,35,35,0
igbo pop,35,35,0
indonesian folk pop,35,35,0
latvian indie,35,35,0
swedish metal,35,35,0
viet chill rap,35,35,0
ambient folk,35,28,10
french jazz,35,4,42
nerdcore,35,3,115
czech,35,0,157
cast recordings,35,0,135
torch songs,35,0,135
hardcore rap,35,0,88
b7005bb9-fcd9-4d06-8c39-c5ef11275ef1,35,0,86
classic metal,35,0,86
knebworth,35,0,86
today,35,0,86
vocal surf,35,0,86
angry,35,0,82
n2,35,0,82
death by pulmonary embolism,35,0,77
colombian reggaeton,35,0,69
bob-marley,35,0,61
the wailers,35,0,61
+usa (california:los angeles,35,0,55
patience,35,0,55
rock urbano,35,0,42
album oriented rock,35,0,41
funk mandelao,34,34,0
hungarian indie,34,34,0
karadeniz turkuleri,34,34,0
modern folk rock,34,34,0
tennessee hip hop,34,34,0
venezuelan rock,34,34,0
austrian pop,34,32,7
baton rouge rap,34,31,5
hands up,34,20,35
cha cha cha,34,13,50
rapping,34,0,348
contemporary,34,0,200
hungarian rap,34,0,105
chamber folk,34,0,90
french touch,34,0,75
traditional heavy metal,34,0,62
not relaxed,34,0,61
split me up,34,0,61
the beatles,34,0,49
keyboardist,34,0,47
elton-john,34,0,43
death rock,34,0,40
warm,34,0,36
indonesian rock,33,33,3
canzone dautore,33,33,0
charva,33,33,0
cumbia uruguaya,33,33,0
cyber metal,33,33,0
korean underground rap,33,33,0
laulaja-lauluntekija,33,33,0
rap cearense,33,33,0
rap uliczny,33,33,0
swedish country,33,33,0
uk americana,33,33,0
nouvelle chanson francaise,33,24,54
koplo,33,23,18
exotica,33,19,62
chiptune,33,2,96
chicago blues,33,2,44
pub rock,33,1,45
suecia,33,0,160
fuzzy artist-series,33,0,140
instrumental rock,33,0,126
balada romantica,33,0,108
eddie rubin,33,0,95
consistency,33,0,94
acoustic porridge,33,0,89
prog rock,33,0,86
rio,33,0,85
rock in opposition,33,0,85
american thrash metal,33,0,68
classic thrash metal,33,0,68
death doom,33,0,59
midwest rap,33,0,59
80s thrash metal,33,0,57
southern metal,33,0,57
gothic doom metal,33,0,33
danish alternative rock,32,32,0
deep underground hip hop,32,32,0
estonian electronic,32,32,0
korean indie rock,32,32,0
rap politico,32,32,0
reggae tuga,32,32,0
seattle hip hop,32,32,0
kwaito,32,28,7
vocal house,32,18,23
murga,32,15,143
turntablism,32,6,59
comedy rock,32,2,47
lyricists,32,0,137
italiano,32,0,84
prog folk,32,0,84
rock progresivo italiano,32,0,84
rpi,32,0,84
espana,32,0,74
partynextdoor,32,0,66
jellyroll,32,0,34
believe in nothing,32,0,32
dark synth rock,32,0,32
host,32,0,32
pacific reggae,32,0,32
indian singer-songwriter,31,31,0
musica angolana,31,31,0
rap baiano,31,31,0
reggaeton mexicano,31,31,0
stomp pop,31,31,0
trap baiano,31,31,0
underground amapiano,31,31,0
gulf hip hop,31,30,1
uzbek pop,31,29,2
sandalwood,31,10,43
uk post-punk,31,7,32
melodic bass,31,5,58
chicago punk,31,1,103
edm trap,31,1,67
southern gospel,31,1,44
funk bruxaria,31,1,33
madonna,31,0,130
star wars,31,0,85
post-dubstep,31,0,76
booka-shade,31,0,72
ma baker,31,0,72
thrash,31,0,66
ethnic,31,0,62
duetos,31,0,59
80s metal,31,0,55
90s metal,31,0,55
a bit overrated,31,0,55
amerikansk,31,0,55
crap,31,0,55
destroyer,31,0,55
douchebag metal,31,0,55
hardnheavy,31,0,55
metallica,31,0,55
pessimistic,31,0,55
pompous asses,31,0,55
progressive thrash metal,31,0,55
stopped being good after 88,31,0,55
stopped being good after 97,31,0,55
teen metal,31,0,55
the unforgiving,31,0,55
trash,31,0,55
trash metal,31,0,55
jdanton2,31,0,49
sabrinafan,31,0,49
finnish death metal,30,30,0
finnish melodeath,30,30,0
finnish power metal,30,30,0
la indie,30,30,0
musica madeirense,30,30,0
rap angolano,30,30,0
rap calme,30,30,0
rave funk,30,30,0
talentkonkurrence,30,30,0
toronto rap,30,30,0
trap catala,30,30,0
trot,30,30,0
operatic pop,30,24,29
indorock,30,21,125
new mpb,30,9,24
rap chretien,30,5,28
breakcore,30,2,45
danish,30,0,246
brazilian,30,0,108
arrolladora,30,0,106
arrolladora limon,30,0,106
banda el limon,30,0,106
la arrolladora,30,0,106
limon,30,0,106
love,30,0,88
dark wave,30,0,84
prog related,30,0,82
avant-folk,30,0,72
the sims,30,0,62
afro-pop,30,0,57
southern gothic,30,0,47
if you seek amy,30,0,44
atmospheric,30,0,43
gratuitous heavy metal umlaut,30,0,39
jizz jazz,30,0,32
classic czech pop,29,29,0
classic norwegian pop,29,29,0
cumbia salvadorena,29,29,0
dancehall queen,29,29,0
electronica argentina,29,29,0
gothenburg hip hop,29,29,0
k-pop reality show,29,29,0
karadeniz pop,29,29,0
norske viser,29,29,0
rap catala,29,29,0
ritmo kombina,29,29,0
syrian pop,29,29,0
thai viral pop,29,29,0
trap venezolano,29,29,0
vapor soul,29,27,7
chanson quebecoise,29,20,23
horror punk,29,14,51
comedy,29,4,70
payner,29,0,152
third stream,29,0,146
afro-fusion,29,0,136
detective,29,0,132
icelandic,29,0,97
shock rock,29,0,88
electronic dance,29,0,87
black gospel,29,0,83
early r & b,29,0,83
international fusion,29,0,83
trainwreck,29,0,80
lithuanian dance,29,0,76
ukrainian,29,0,70
ddr,29,0,44
engel,29,0,44
german industrial,29,0,44
german industrial metal,29,0,44
high german,29,0,44
tanzmetall,29,0,44
death by drowning,29,0,40
tunisia,29,0,37
engineer,29,0,31
missing allmusic links,29,0,30
canadian electronic,28,28,0
classic belgian pop,28,28,0
classic greek pop,28,28,0
dangdut koplo,28,28,0
deep groove house,28,28,0
german reggae,28,28,0
kazakh indie,28,28,0
malaysian indie,28,28,0
salsa venezolana,28,28,0
ukg revival,28,28,0
mathcore,28,23,30
electro swing,28,15,40
chamame,28,13,59
folk punk,28,9,48
modal jazz,28,0,146
punjabi,28,0,116
anthology,28,0,96
jazz poetry,28,0,85
meek mill,28,0,84
american idol,28,0,76
cowboy,28,0,75
jungle terror,28,0,67
hamaki,28,0,64
mohamed hamaki,28,0,64
jerry lee lewis,28,0,61
sun box,28,0,61
the best of jerry lee lewis,28,0,61
gothic,28,0,56
whistle register,28,0,56
girl,28,0,55
dusseldorf,28,0,53
thomas bangalter,28,0,50
vocoder,28,0,50
wp musicians,28,0,50
sentimental,28,0,37
tunisian,28,0,36
broken transmission,28,0,30
contemporary vocal jazz,27,27,6
bedroom r & b,27,27,0
chinese idol pop,27,27,0
g funk,27,27,0
greek fem rap,27,27,0
polish alternative rock,27,27,0
pop peruano,27,27,0
rai algerien,27,27,0
rap espanol,27,27,0
romanian house,27,27,0
sky room,27,27,0
swedish americana,27,27,0
swedish power metal,27,27,0
swedish tropical house,27,27,0
thai ost,27,27,0
tontipop,27,27,0
trancecore,27,26,13
duranguense,27,22,36
nueva trova,27,15,74
kayokyoku,27,14,122
jazz beats,27,2,38
swamp rock,27,2,28
delta blues,27,1,34
beat poetry,27,0,84
suboptimal credits,27,0,77
saga,27,0,76
roblox,27,0,75
polish hip-hop,27,0,67
lithuanian indie pop,27,0,66
ascetic,27,0,63
pakistani qawwali,27,0,61
deep purple family,27,0,57
german-lyrics,27,0,52
welsh,27,0,50
producer tag-pharrell,27,0,43
cabo zouk kizomba,27,0,38
arab,27,0,35
rough trade,27,0,32
spike,27,0,32
barbadian pop,26,26,0
canadian electropop,26,26,0
classic canadian rock,26,26,0
egyptian rock,26,26,0
finnish alternative rock,26,26,0
nu-cumbia,26,26,0
pop boliviano,26,26,0
techno remix,26,26,0
virginia hip hop,26,26,0
viking metal,26,24,21
houston rap,26,24,4
dabke,26,19,8
otacore,26,14,29
drumstep,26,4,65
cantonese,26,0,144
country soul,26,0,75
moombahcore,26,0,64
ukraine,26,0,46
playback singer,26,0,43
group,26,0,42
this is the time,26,0,34
deutschpunk,26,0,30
o happy day,26,0,30
id artist,26,0,28
signalwave,26,0,28
80s punk,26,0,27
90s punk,26,0,27
epitaph,26,0,27
antideutsche,25,25,2
afro drill,25,25,0
asian american hip hop,25,25,0
azeri rap,25,25,0
brazilian reggae,25,25,0
channel pop,25,25,0
comic,25,25,0
deep rai,25,25,0
dutch cabaret,25,25,0
finnish progressive metal,25,25,0
gaming edm,25,25,0
latin christian,25,25,0
progressive thrash,25,25,0
rap chileno,25,25,0
russian trap metal,25,25,0
sepedi pop,25,25,0
sheffield indie,25,25,0
t-pop boy group,25,25,0
viral rap,25,25,0
ye ye,25,25,0
riot grrrl,25,21,15
japanese pop punk,25,19,7
new orleans bounce,25,18,28
nueva cancion,25,16,13
minneapolis sound,25,7,125
nightcore,25,7,55
arkansas country,25,5,55
ebm,25,4,43
el principe,25,0,144
crime,25,0,141
oldies,25,0,104
rumba flamenca,25,0,67
iceland,25,0,65
trailer,25,0,51
black-metal,25,0,36
epic black metal,25,0,36
christian country,25,0,32
musica adventista,25,0,32
rock rap,25,0,27
compositional ambient,24,24,3
cantautora mexicana,24,24,0
classic russian pop,24,24,0
cypriot pop,24,24,0
danish post-punk,24,24,0
electra,24,24,0
kyrgyz hip hop,24,24,0
modern indie pop,24,24,0
naija worship,24,24,0
polish underground rap,24,24,0
rap antillais,24,24,0
swiss rock,24,24,0
swiss trap,24,24,0
vlaamse kinderliedje,24,24,0
protopunk,24,4,41
frenchcore,24,3,56
impressionism,24,3,27
pop country,24,1,71
hamburg,24,0,122
minimal,24,0,104
organ,24,0,92
32 sonatas,24,0,91
alicia de larrocha,24,0,91
beethoven gardiner,24,0,91
klavierwerke,24,0,91
lo spirito,24,0,91
masterworks,24,0,91
opus 57,24,0,91
piano concerto no. 5,24,0,91
reader s,24,0,91
sertaneja,24,0,86
grand tour,24,0,81
flaming,24,0,78
if you talk in your sleep,24,0,78
in the studio,24,0,78
live in concert,24,0,69
the way i feel,24,0,69
netherlands,24,0,54
voice actor,24,0,46
private tag 1,24,0,39
added for google code-in 2017,24,0,38
west coast rock,24,0,36
transgender,24,0,27
2000er,24,0,26
am,24,0,26
interview,24,0,24
barnmusik,23,23,0
brighton indie,23,23,0
canadian folk,23,23,0
cdo indie,23,23,0
chinese indie rock,23,23,0
christian music,23,23,0
classic latvian pop,23,23,0
dutch indie rock,23,23,0
josei rap,23,23,0
kindermusik,23,23,0
korean old school hip hop,23,23,0
pacific islands pop,23,23,0
pinoy singer-songwriter,23,23,0
russian indie,23,23,0
russian plugg,23,23,0
russian reggae,23,23,0
singaporean hip hop,23,23,0
swiss reggae,23,23,0
trap mexicano,23,23,0
new americana,23,22,1
funk melody,23,19,12
new jersey rap,23,18,19
rap quebecois,23,14,32
detroit trap,23,12,22
freestyle,23,6,41
cyberpunk,23,5,21
liedermacher,23,4,30
rumba catalana,23,1,47
girlsband,23,0,212
slovak,23,0,96
southern rap,23,0,75
covers,23,0,63
argentine rap,23,0,62
hammond organ,23,0,54
messiah of rock and roll,23,0,54
swinger-songwriter,23,0,54
collection,23,0,53
deep purple,23,0,53
hammond,23,0,53
chanson a texte,23,0,41
female fronted,23,0,36
farther,23,0,31
melodic black metal,23,0,30
in jail,23,0,26
top 100,23,0,26
australian alternative pop,22,22,0
british indie rock,22,22,0
bulgarian r & b,22,22,0
carnaval cadiz,22,22,0
chanson virale,22,22,0
graz indie,22,22,0
hare krishna,22,22,0
hawaiian hip hop,22,22,0
igbo rap,22,22,0
krushfunk,22,22,0
mississippi hip hop,22,22,0
norwegian rap,22,22,0
norwegian rock,22,22,0
pinoy idol pop,22,22,0
thai folk rock,22,22,0
funana,22,20,2
melodic dubstep,22,7,19
alt country,22,6,72
britain,22,0,178
dissolved,22,0,178
gb,22,0,178
great britain,22,0,178
cumbia mexicana,22,0,153
nl,22,0,146
poggers,22,0,105
death by cirrhosis,22,0,98
country music,22,0,83
lithuanian soul,22,0,82
ireland,22,0,73
awesomename,22,0,50
oye com va,22,0,47
pedophile,22,0,31
iraqi music,22,0,29
alternative rnb,22,0,27
bon jovi,22,0,25
hard fm,22,0,25
complete violin wind,22,0,24
cabo verde,22,0,22
peak time techno,22,0,22
belarusian pop,21,21,0
boom bap espanol,21,21,0
canadian indie rock,21,21,0
classic texas country,21,21,0
cumbia ranchera,21,21,0
electro bailando,21,21,0
folklore paraguayo,21,21,0
german pop rock,21,21,0
indonesian alternative rock,21,21,0
modern reggae,21,21,0
north east england indie,21,21,0
okinawan pop,21,21,0
skansk musik,21,21,0
slovak punk,21,21,0
uk melodic rap,21,21,0
viet lo-fi,21,21,0
welsh rock,21,21,0
afrofuturism,21,13,9
fuji,21,12,26
cold wave,21,9,40
novelty,21,4,23
glitch hop,21,3,34
ocean,21,1,114
urban music,21,0,224
thai,21,0,116
switzerland,21,0,95
eyes on me,21,0,90
french language,21,0,90
great voice,21,0,90
skilled vocals,21,0,90
industrial hip hop,21,0,71
mumble rapper,21,0,53
occult rock,21,0,53
eire,21,0,49
lol,21,0,47
noisecore,21,0,45
relative-cousin,21,0,42
skrillex,21,0,38
chaotic hardcore,21,0,28
bubblegum punk,21,0,26
extreme metal,21,0,26
mall punk,21,0,26
phil collins hits cd2,21,0,26
teen punk,21,0,26
top 10,21,0,23
orange county,21,0,22
orange county punk,21,0,22
jive,21,0,21
ozymandias,21,0,21
russian composer,21,0,21
african rock,20,20,0
barnemusikk,20,20,0
britpop revival,20,20,0
canadian country,20,20,0
electro-pop francais,20,20,0
florida drill,20,20,0
german indie folk,20,20,0
german metal,20,20,0
hokkaido indie,20,20,0
indian edm,20,20,0
indonesian pop punk,20,20,0
italian pop rock,20,20,0
japanese trap,20,20,0
kolsche karneval,20,20,0
musica chihuahuense,20,20,0
portuguese indie,20,20,0
progressive doom,20,20,0
solo wave,20,20,0
trap carioca,20,20,0
traphall,20,20,0
irish folk,20,16,19
pinoy alternative,20,13,126
pentecostal,20,4,39
art punk,20,1,52
scandinavian,20,0,191
enfp,20,0,100
utaite,20,0,90
roots,20,0,57
cuba,20,0,56
vocal dance,20,0,56
favorite,20,0,55
harmonica players,20,0,55
johnny cash rock island,20,0,55
little,20,0,55
osteraker,20,0,55
oriental ballad,20,0,52
50s,20,0,50
female vocal dance,20,0,49
dance trance,20,0,48
ostschlager,20,0,41
euro trance,20,0,38
rock groups,20,0,32
arab hip-hop,20,0,28
arab rap,20,0,28
hip-hip,20,0,28
trap pop,20,0,25
parocktikum,20,0,24
epic music,20,0,22
boston,20,0,21
massachusetts,20,0,21
avante garde,20,0,20
batida,19,19,0
childrens choir,19,19,0
indie electropop,19,19,0
israeli indie,19,19,0
neomelodici,19,19,0
nz hip hop,19,19,0
oldschool deutschrap,19,19,0
opera metal,19,19,0
russian punk rock,19,19,0
russian viral pop,19,19,0
thai folk,19,19,0
thai pop rap,19,19,0
turkish jazz,19,19,0
vapor twitch,19,19,0
sami,19,18,1
idol,19,13,24
bitpop,19,12,27
gregorian chant,19,10,26
bhojpuri pop,19,10,22
norteno-sax,19,9,63
anti-folk,19,9,34
tecnobrega,19,5,109
ballet,19,2,27
christian reggae,19,2,18
piano jazz,19,0,163
romanian dance-pop,19,0,91
x,19,0,72
vilnius,19,0,69
italo-disco,19,0,68
poetics,19,0,67
lithuanian synth-pop,19,0,62
ambient dub,19,0,59
italian rap,19,0,55
l2b,19,0,46
new haven,19,0,46
trance pop,19,0,46
abstract,19,0,45
female vocal trance,19,0,45
world music,19,0,44
sort me out,19,0,41
death,19,0,40
hindi,19,0,40
fun-punk,19,0,38
japanese band,19,0,38
乐队组合,19,0,38
riddim dubstep,19,0,34
keyboard,19,0,32
chamber orchestra,19,0,31
urban,19,0,31
add named after,19,0,28
travis barker,19,0,28
bass trap,18,18,0
brazilian edm,18,18,0
brisbane indie,18,18,0
brooklyn indie,18,18,0
chill pop,18,18,0
classic indonesian rock,18,18,0
danish electropop,18,18,0
danish metal,18,18,0
desi emo rap,18,18,0
ecuadorian pop,18,18,0
fantasy metal,18,18,0
german jazz rap,18,18,0
meme rap,18,18,0
morelos indie,18,18,0
norwegian folk rock,18,18,0
pinoy reggae,18,18,0
rap df,18,18,0
russian post-punk,18,18,0
sad lo-fi,18,18,0
sad rap,18,18,0
shiver pop,18,18,0
speedrun,18,18,0
tatar pop,18,18,0
urbano ecuatoriano,18,18,0
venda pop,18,18,0
chill phonk,18,17,13
indie surf,18,17,5
gypsy jazz,18,15,7
afro-cuban jazz,18,6,47
indie electronic,18,4,35
azeri pop,18,4,15
chillstep,18,2,47
1970s hong kong debut,18,0,222
instrumental jazz,18,0,83
bro-country,18,0,69
fantezi,18,0,64
afro-beat,18,0,54
juju,18,0,54
mande,18,0,54
drumless,18,0,52
accordion,18,0,50
city,18,0,33
northern irish,18,0,29
house music,18,0,28
heavy psych,18,0,26
tropicalia,18,0,25
las vegas,18,0,22
ostmetal,18,0,22
hustle,18,0,21
seoul,18,0,20
celtic new age,18,0,19
enya,18,0,19
austrian actor,18,0,18
chinese melodic rap,17,17,0
classic country pop,17,17,0
estonian indie,17,17,0
finnish electro,17,17,0
finnish pop punk,17,17,0
greek house,17,17,0
huzunlu sarkilar,17,17,0
karneval,17,17,0
kingston on indie,17,17,0
korean trap,17,17,0
latin worship,17,17,0
latvian rock,17,17,0
maluku pop,17,17,0
polish reggae,17,17,0
quebec indie,17,17,0
rock nacional brasileiro,17,17,0
russian folk rock,17,17,0
south carolina hip hop,17,17,0
trondersk musikk,17,17,0
neon pop punk,17,16,1
oyun havası,17,5,15
wonky,17,2,75
darksynth,17,2,42
speedcore,17,2,39
sea shanties,17,2,25
country christian,17,2,17
hong kong cultural icon,17,0,269
2nd gen k-pop,17,0,247
royalty free,17,0,144
anniversary,17,0,122
james scutt,17,0,122
pretzelbodylogic,17,0,122
prince revolution,17,0,122
robin,17,0,122
mexican cumbia,17,0,118
inna,17,0,85
cedm,17,0,74
portugal,17,0,69
creepy pop,17,0,60
blackgaze,17,0,59
many names,17,0,59
russia,17,0,57
death by covid-19,17,0,54
duo,17,0,52
jam,17,0,50
discogs,17,0,48
soprano,17,0,48
drake,17,0,45
lithuanian alternative rock,17,0,41
many singles,17,0,41
geek rock,17,0,39
deep soul,17,0,35
iswcs pending,17,0,35
script-deva,17,0,32
eurotrance,17,0,31
avant-pop,17,0,25
death by cardiac arrest,17,0,19
the police,17,0,19
acoustic opm,16,16,0
black americana,16,16,0
chanson quebecois,16,16,0
chilean indie,16,16,0
cruise,16,16,0
eau claire indie,16,16,0
ectofolk,16,16,0
el paso indie,16,16,0
epa dunk,16,16,0
greek swing,16,16,0
indie triste,16,16,0
modern hard rock,16,16,0
musica santomense,16,16,0
nottingham hip hop,16,16,0
oulu metal,16,16,0
oxford indie,16,16,0
portuguese indie rock,16,16,0
raspe,16,16,0
traditional blues,16,16,0
ukrainian folk rock,16,16,0
ukrainian post-punk,16,16,0
broadway,16,14,14
son jarocho,16,13,16
classic schlager,16,12,5
j-punk,16,10,8
mexican ska,16,3,29
acoustic blues,16,1,94
forro tradicional,16,1,29
zouglou,16,1,19
idol solo,16,0,139
electro-industrial,16,0,116
malaysia,16,0,95
atif,16,0,79
atif aslam,16,0,79
doorie,16,0,79
jal pari,16,0,79
added for google code-in 2016,16,0,75
motorik,16,0,72
wir sind helden,16,0,72
best of,16,0,56
ethereal,16,0,55
serenity,16,0,55
the lost prophecy,16,0,50
ye-ye,16,0,47
yg,16,0,44
cabaret,16,0,43
lithuanian indie rock,16,0,42
vocals,16,0,42
lithuanian post-punk,16,0,39
lithuanian punk,16,0,39
lithuanian dance-pop,16,0,37
pop trance,16,0,37
aria,16,0,29
baroque music,16,0,29
kings college,16,0,29
menuhin,16,0,29
opera seria,16,0,29
utrecht,16,0,29
variete,16,0,28
christian edm,16,0,21
deejay,16,0,21
christian bluegrass,16,0,18
not a bogus artist,16,0,17
stoner doom,16,0,17
auckland indie,15,15,0
australian alternative rock,15,15,0
bedroom soul,15,15,0
chilean hardcore,15,15,0
french indietronica,15,15,0
hamburg electronic,15,15,0
hard bass,15,15,0
haryanvi hip hop,15,15,0
indie extremena,15,15,0
korean dream pop,15,15,0
korean drill,15,15,0
norrlandsk hip hop,15,15,0
ontario indie,15,15,0
pinoy alternative rap,15,15,0
pinoy pop punk,15,15,0
pixie,15,15,0
polish old school hip hop,15,15,0
pop catracho,15,15,0
russian dance pop,15,15,0
russian ska,15,15,0
south african gospel,15,15,0
turkish psych,15,15,0
ukrainian edm,15,15,0
vapor pop,15,15,0
early music,15,14,9
sigilkore,15,12,3
neo-classical,15,9,7
brazilian jazz,15,5,14
chicago bop,15,5,11
bass music,15,4,16
british orchestra,15,2,19
post-minimalism,15,2,19
finland,15,0,113
#trapstar,15,0,106
progressive soul,15,0,88
todo-works,15,0,88
glitch pop,15,0,86
romanian band,15,0,75
bbb,15,0,55
eclectic prog,15,0,42
goth rock,15,0,40
classical folk,15,0,39
synth rock,15,0,39
technical,15,0,39
death by plane crash,15,0,37
german voice actor,15,0,34
minimal wave,15,0,34
synth punk,15,0,34
domestic abuser,15,0,22
algeria,15,0,20
symphony orchestra,15,0,20
caribbean,15,0,17
trumpet,15,0,16
argentine reggae,14,14,0
australian house,14,14,0
bandung indie,14,14,0
classic romanian pop,14,14,0
crank wave,14,14,0
deep talent show,14,14,0
dutch americana,14,14,0
german alternative rock,14,14,0
merengue tipico,14,14,0
middle east hip hop,14,14,0
musica tradicional cubana,14,14,0
palestinian hip hop,14,14,0
quantum sound,14,14,0
rock alternativo espanol,14,14,0
rock andaluz,14,14,0
rogaland musikk,14,14,0
russian metal,14,14,0
ska chileno,14,14,0
zxc,14,14,0
dainuojamoji poezija,14,13,3
german punk,14,13,1
folclor andino,14,7,25
renaissance,14,4,27
native american music,14,3,13
death by bleeding ulcer,14,0,90
space ambient,14,0,89
poets,14,0,84
dirty rap,14,0,78
stay awake,14,0,74
the netherlands,14,0,60
blue eyed soul,14,0,54
george gershwin,14,0,54
had feet,14,0,54
midnight,14,0,54
miles davis,14,0,54
trumpeter,14,0,54
philippines,14,0,51
psy-trance,14,0,46
egyptian,14,0,39
lithuanian contemporary r & b,14,0,33
1st gen k-pop,14,0,32
techno kayo,14,0,31
