Genre,ResolvedTrackCount,TSOccurrenceCount,ArtistOccurrenceCount
experimental hip hop,732,7,1365
fix,731,0,1681
tejano,723,207,1429
luxury rap,714,0,1082
moroccan rap,712,234,1630
contemporary country,707,302,651
calypso,698,23,1460
lithuanian pop,695,507,691
forro,694,482,977
boom bap,691,76,1501
azonto,687,309,1147
3 step,677,387,1413
anime,676,432,1037
k-pop boy group,674,674,0
chalga,674,637,171
brazilian funk,673,321,1892
romanian trap,668,668,0
dembow belico,665,219,1348
swedish trap,663,663,0
90s,654,0,1457
rockabilly,652,28,1578
trap rap,651,0,1180
queer,648,0,1378
mambo,647,500,1455
ska,642,72,1427
kuduro,637,95,895
progressive trance,634,23,1530
hip hop tuga,632,628,54
afro adura,632,434,1124
sufi,630,248,1192
reggaeton flow,628,628,0
new age,620,11,1396
experimental rock,619,0,1248
emo rap,618,146,1198
ballad,618,0,2001
old school hip hop,617,387,692
alte,615,364,1011
k-rap,613,505,581
argentine trap,613,243,1538
greek drill,609,609,0
gangster rap,609,415,468
kompa,608,91,776
dansktop,604,412,1642
grime,603,394,1091
boy group,603,0,1621
cuarteto,602,474,992
acoustic rock,602,0,1338
musical,600,0,1375
punjabi hip hop,597,382,1284
candombe,595,91,1300
club,593,0,1442
likedis auto,590,0,1618
devotional,589,43,1391
rock en espanol,588,406,722
easy listening,585,95,1266
sertanejo pop,583,583,0
baroque pop,582,88,1014
vocal jazz,578,125,1307
arab pop,575,575,0
psytrance,571,1,1316
latin alternative,569,485,462
easy listening soundtracks and musicals,569,0,1715
bluegrass,566,5,1308
taiwan pop,565,565,0
film composer,561,0,1381
urbano chileno,548,548,0
urbano espanol,548,548,0
norwegian hip hop,548,352,708
mashup,548,1,1298
german drill,547,547,0
private school piano,547,313,1504
schlager,544,102,1467
glam rock,544,83,1017
rap rock,544,21,968
dream pop,543,54,938
argentine hip hop,541,541,0
turkish rock,541,541,0
jungle,541,5,1269
late 2000s,539,0,985
power pop,538,9,918
icelandic pop,536,526,24
portuguese hip hop,534,168,1181
dutch pop,532,530,73
worship,531,124,735
choral,531,11,1287
trip hop,525,78,868
latin rock,524,329,1053
riddim,522,201,505
phonk,521,148,889
rkt,520,341,945
latin house,519,112,715
israeli mediterranean,515,515,0
latin arena pop,513,513,0
post-grunge,511,142,689
acid techno,509,95,501
trap funk,508,287,1318
black metal,506,3,921
k-pop girl group,505,505,0
dutch house,503,379,591
chillout,502,0,1281
malaysian pop,499,431,532
dance and electronica,498,0,1176
slap house,497,289,424
piano rock,497,71,780
classic swedish pop,496,496,0
trap triste,496,496,0
nu metal,496,137,561
shatta,495,174,600
pop nacional,491,491,0
puerto rican pop,490,490,0
hiplife,489,225,858
bogus artist,487,0,858
rap dominicano,486,486,0
czech pop,484,484,0
bolero,484,128,948
tango,484,1,1209
fusion,483,0,1226
hamburg hip hop,481,481,0
hard techno,481,94,489
taiwanese pop,480,333,2290
goth,480,0,1204
french,478,0,1363
cumbia pop,477,477,12
psychobilly,477,1,1189
japan,475,0,1272
us,473,0,1015
piseiro,472,282,1171
funk rock,472,136,970
beethoven,472,0,1178
rap napoletano,467,467,0
canadian pop,466,445,26
rap us,466,0,682
alternative hip hop,464,59,915
fuzzy artist,464,0,1149
britpop,462,104,668
http:,462,0,1165
classic,462,0,1148
rhythm & blues,462,0,1081
cumbia nortena,460,327,610
lo-fi,460,9,777
folklore,460,0,1184
emo,459,25,828
berlin school,459,0,1151
swedish idol pop,458,458,0
egyptian trap,457,457,0
permanent wave,457,395,154
a filk artist,457,0,816
trap edm,457,0,762
meditation,456,1,1135
hillbilly,456,0,1142
chicago,456,0,1136
vietnam indie,455,325,1073
chinese r & b,454,336,998
make,454,0,3403
audiobook,454,0,1188
backstreet boys,454,0,1147
volkstumliche musik,454,0,1136
21 throwback jams,454,0,1135
absolute voices,454,0,1135
acoustic best,454,0,1135
bflaminio,454,0,1135
boot land,454,0,1135
cdnnnow128,454,0,1135
cdx,454,0,1135
celtic celebration,454,0,1135
compilatie,454,0,1135
dfree843,454,0,1135
driven by 80s anthems,454,0,1135
experience the classics,454,0,1135
fix‌me,454,0,1135
hollywood hits,454,0,1135
leaving on a jet plan,454,0,1135
legion of von,454,0,1135
michael jackson,454,0,1135
my sharona,454,0,1135
m‌ess,454,0,1135
ncs,454,0,1135
new generations,454,0,1135
new generations philip glass,454,0,1135
number 1,454,0,1135
put in brackets,454,0,1135
ronak bhatt,454,0,1135
sunshine,454,0,1135
tags,454,0,1135
the welcome committee,454,0,1135
trikitixa,454,0,1135
tunguska chillout grooves,454,0,1135
ultimatecore,454,0,1135
ussr ministry of culture chamber choir,454,0,1135
various,454,0,1135
ƒk₷m€,454,0,1135
101 moments in music,454,0,1134
2001 space odyssey,454,0,1134
50cents,454,0,1134
80 s fresh new,454,0,1134
a crooner collection,454,0,1134
absolute reggae,454,0,1134
adam beyer,454,0,1134
africa middle east,454,0,1134
alirio diaz,454,0,1134
andrade,454,0,1134
andre powels,454,0,1134
andrew york,454,0,1134
armin van buuren,454,0,1134
bareto,454,0,1134
basque,454,0,1134
billboard 1 hits,454,0,1134
binaural beats,454,0,1134
bioshock soundtrack,454,0,1134
birthday,454,0,1134
bravo hits,454,0,1134
bravo hits 82,454,0,1134
breakout artists,454,0,1134
casanovas,454,0,1134
celtic spirit vol 7,454,0,1134
classique,454,0,1134
classwar karaoke,454,0,1134
cobles,454,0,1134
dedicated to you vol 1,454,0,1134
desperado,454,0,1134
devotional buddhist chants,454,0,1134
die drei,454,0,1134
don t rate the va artist,454,0,1134
dresch,454,0,1134
educacion,454,0,1134
elc chritmas,454,0,1134
es lebe der punk,454,0,1134
fjord,454,0,1134
foreign language,454,0,1134
frederic chopin,454,0,1134
futebol,454,0,1134
gerard palaprat,454,0,1134
glass,454,0,1134
gospel religious,454,0,1134
grase,454,0,1134
groom to the gallows,454,0,1134
healing sixes,454,0,1134
hemi-sync,454,0,1134
hot hits,454,0,1134
ibiza,454,0,1134
infantil,454,0,1134
john coltrane,454,0,1134
josquin,454,0,1134
jucanto,454,0,1134
kinderchore,454,0,1134
kinderliedjes kapiteinwinokio humo,454,0,1134
klaus baumgart,454,0,1134
la grande sophie,454,0,1134
lil eazy-e,454,0,1134
liturgic,454,0,1134
liz,454,0,1134
liz andrade,454,0,1134
local music of iran,454,0,1134
los 24 grandes exitos de la zarzuela,454,0,1134
marilyn manson,454,0,1134
mary j blige,454,0,1134
mega,454,0,1134
mess,454,0,1134
mimicking birds,454,0,1134
miroque,454,0,1134
mohsen namjoo,454,0,1134
montuno,454,0,1134
more 70,454,0,1134
nederlands,454,0,1134
niroshima,454,0,1134
nitzer ebb,454,0,1134
not *every* artist,454,0,1134
nox,454,0,1134
old skool of rock disc 1,454,0,1134
oldest artist #1,454,0,1134
orthodox,454,0,1134
papeete,454,0,1134
pavarotti,454,0,1134
piosenka poetycka muzyka autorska,454,0,1134
practically all these tags are fail,454,0,1134
pzzqxnzt6snn ekrngheoblbupu-,454,0,1134
razieq,454,0,1134
rhythm del mundo,454,0,1134
shankar jaikishan,454,0,1134
shine 4,454,0,1134
shwetabh sucks,454,0,1134
sonic seducer cold hands vi,454,0,1134
soul cargo,454,0,1134
sprechgesang,454,0,1134
venezolana,454,0,1134
vera kaa,454,0,1134
visions,454,0,1134
wireharp,454,0,1134
z103 5 street mix 2k7,454,0,1134
zero t 51,454,0,1134
zweiohr,454,0,1134
мелодии рождества,454,0,1134
嫌われ松子の歌たち,454,0,1134
hungarian hip hop,452,452,0
girl group,452,125,1200
britannique,452,0,1086
s.a. souvenirs,446,0,1117
death metal,445,32,851
post-punk,440,19,1059
chanson,439,196,873
big room,437,324,430
tropical,434,408,160
coupe decale,434,213,294
rumba congolaise,431,75,443
greek pop,429,425,11
uk dance,428,428,0
polish pop,428,425,6
russian pop,425,420,5
pop urbano,425,245,701
vallenato,420,272,773
magyar trap,419,419,0
progressive electro house,416,416,0
taiwan singer-songwriter,415,415,0
trap soul,413,32,778
hardcore hip,413,0,573
bedroom pop,410,88,470
mexican pop,409,405,27
czech drill,407,407,0
arabesk,407,245,836
3rd gen k-pop,405,0,1020
swedish drill,404,404,0
thai hip hop,404,319,474
grunge,404,28,716
mariachi,401,129,679
funk consciente,393,256,749
funk pop,392,273,490
moombahton,392,108,850
trap boricua,391,391,0
tekno,391,78,382
epadunk,389,188,960
tamil pop,387,155,1001
neo-psychedelia,385,0,861
slovak hip hop,370,370,0
aor,370,13,707
ukrainian pop,366,350,21
hk-pop,364,364,0
aln-sh,364,0,955
bogus,364,0,676
alt z,363,363,0
panamanian pop,363,363,0
mergeme,363,0,673
fantasy,361,0,889
rap ivoire,360,203,228
albanian hip hop,359,359,0
drill francais,359,359,0
romanian pop,359,359,0
brazilian hip hop,357,213,798
author,356,0,936
roots reggae,355,50,463
norwegian pop rap,354,353,41
traditional pop,353,0,1067
cloud rap francais,349,349,0
german cloud rap,349,349,0
latin viral pop,349,349,0
thai rock,349,230,593
g-funk,349,179,473
argentine rock,348,282,555
blue-eyed soul,346,0,805
future bass,344,7,797
kollywood,341,115,961
orchestral,341,3,747
reino unido,341,0,686
pov: indie,339,339,0
metropopolis,338,337,2
contemporary folk,337,0,1075
band,336,0,598
music for soccer moms,335,0,852
icelandic hip hop,333,333,0
indian indie,333,229,553
hypnagogic pop,332,4,421
hyperpop,331,86,753
parlophone,329,0,463
persian pop,328,179,273
production music,326,0,669
album rock,325,199,482
united kingdom,324,0,813
nz reggae,323,154,335
underground hip hop,322,142,374
estados unidos,322,0,687
00s,321,0,729
belgian hip hop,320,320,0
nepo baby,318,0,427
future house,317,247,481
adult standards,317,245,334
hindi hip hop,317,183,735
film score,317,0,946
asakaa,315,176,408
french house,313,41,574
bacardi,312,156,574
bhangra,310,175,937
soul and reggae,309,0,595
bubblegum pop,307,11,601
uk drill,306,132,927
rap metal,306,65,351
detroit hip hop,304,176,269
dansk pop,302,278,67
malay,302,182,998
psychedelic,302,0,720
70s,301,0,1039
country-pop,301,0,365
arena rock,300,1,582
hp,300,0,359
re-recording,300,0,359
taylor-swift,300,0,359
nederpop,299,145,1026
vietnamese melodic rap,298,298,0
sholawat,297,76,723
england,297,0,568
france,297,0,534
cumbia sonidera,296,242,464
tropical music,296,206,427
server name,296,0,863
estonian pop,295,295,0
guaracha,294,172,571
christian hip hop,293,27,410
garage rock,292,86,494
brazilian phonk,289,93,497
russian drill,288,288,0
bongo flava,288,79,379
finnish trap,287,287,0
chicago rap,287,260,66
ambient pop,287,17,489
spamess,287,0,563
brazilian trap,286,91,892
merge,285,0,556
pbr & b,285,0,363
russian alt pop,284,284,0
flamenco urbano,284,208,404
