Genre,TrackCount,PrimaryFamily,SecondaryFamilies,PrimaryWeight,PrimaryConfidence,Reasons,PriorityScore
timba,101,,,,,no_family | no_related_styles | no_transition_styles,4.4189
8 mile,100,,,,,no_family | no_related_styles | no_transition_styles,4.4095
bongo piano,100,,,,,no_family | no_related_styles | no_transition_styles,4.4095
detroit hip-hop,100,,,,,no_family | no_related_styles | no_transition_styles,4.4095
kun,100,,,,,no_family | no_related_styles | no_transition_styles,4.4095
midwest hip-hop,100,,,,,no_family | no_related_styles | no_transition_styles,4.4095
v,100,,,,,no_family | no_related_styles | no_transition_styles,4.4095
trap boricua,391,hip_hop,,0.45,fallback,fallback_confidence | low_primary_weight,4.4086
actor,99,,,,,no_family | no_related_styles | no_transition_styles,4.4
celtic,99,,,,,no_family | no_related_styles | no_transition_styles,4.4
symphonic prog,99,,,,,no_family | no_related_styles | no_transition_styles,4.4
west coast hip-hop,99,,,,,no_family | no_related_styles | no_transition_styles,4.4
death by suicide,98,,,,,no_family | no_related_styles | no_transition_styles,4.3904
icelandic indie,98,,,,,no_family | no_related_styles | no_transition_styles,4.3904
lithuanian indie,98,,,,,no_family | no_related_styles | no_transition_styles,4.3904
oyun havasi,98,,,,,no_family | no_related_styles | no_transition_styles,4.3904
television music,98,,,,,no_family | no_related_styles | no_transition_styles,4.3904
complete,97,,,,,no_family | no_related_styles | no_transition_styles,4.3807
sonata,97,,,,,no_family | no_related_styles | no_transition_styles,4.3807
talentkonkurranse,97,,,,,no_family | no_related_styles | no_transition_styles,4.3807
magyar alternative,96,,,,,no_family | no_related_styles | no_transition_styles,4.3709
nova mpb,152,brazilian,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.3694
aor,370,rock,,0.45,fallback,fallback_confidence | low_primary_weight,4.3679
kundiman,95,,,,,no_family | no_related_styles | no_transition_styles,4.361
ratchet music,95,,,,,no_family | no_related_styles | no_transition_styles,4.361
hk-pop,364,pop,world_asian,0.45,fallback,fallback_confidence | low_primary_weight,4.3559
colombian,94,,,,,no_family | no_related_styles | no_transition_styles,4.351
schlagerparty,94,,,,,no_family | no_related_styles | no_transition_styles,4.351
rap ivoire,360,hip_hop,,0.45,fallback,fallback_confidence | low_primary_weight,4.3478
drill francais,359,hip_hop,,0.45,fallback,fallback_confidence | low_primary_weight,4.3457
spoken word,93,,,,,no_family | no_related_styles | no_transition_styles,4.3409
vocal,93,,,,,no_family | no_related_styles | no_transition_styles,4.3409
cloud rap francais,349,hip_hop,,0.45,fallback,fallback_confidence | low_primary_weight,4.3249
g-funk,349,hip_hop,,0.45,fallback,fallback_confidence | low_primary_weight,4.3249
hong kong indie,91,,,,,no_family | no_related_styles | no_transition_styles,4.3203
n,91,,,,,no_family | no_related_styles | no_transition_styles,4.3203
conductor,90,,,,,no_family | no_related_styles | no_transition_styles,4.3099
noise,90,,,,,no_family | no_related_styles | no_transition_styles,4.3099
psychedelic folk,141,country_folk,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.3046
metropopolis,338,pop,,0.45,fallback,fallback_confidence | low_primary_weight,4.3013
atlantico,89,,,,,no_family | no_related_styles | no_transition_styles,4.2993
avant-garde,89,,,,,no_family | no_related_styles | no_transition_styles,4.2993
barranquilla,89,,,,,no_family | no_related_styles | no_transition_styles,4.2993
bay area,89,,,,,no_family | no_related_styles | no_transition_styles,4.2993
chapel,89,,,,,no_family | no_related_styles | no_transition_styles,4.2993
soundtracks,140,soundtrack_stage,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.2984
jazz fusion,139,jazz_blues,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.2923
vietnamese singer-songwriter,139,country_folk,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.2923
a cappella,88,,,,,no_family | no_related_styles | no_transition_styles,4.2887
bridge,88,,,,,no_family | no_related_styles | no_transition_styles,4.2887
christmas singles,88,,,,,no_family | no_related_styles | no_transition_styles,4.2887
german r & b,88,,,,,no_family | no_related_styles | no_transition_styles,4.2887
immortality,88,,,,,no_family | no_related_styles | no_transition_styles,4.2887
nwobhm,88,,,,,no_family | no_related_styles | no_transition_styles,4.2887
romantic,88,,,,,no_family | no_related_styles | no_transition_styles,4.2887
synthwave,88,,,,,no_family | no_related_styles | no_transition_styles,4.2887
twenty,88,,,,,no_family | no_related_styles | no_transition_styles,4.2887
hyperpop,331,pop,,0.45,fallback,fallback_confidence | low_primary_weight,4.2859
berlin,87,,,,,no_family | no_related_styles | no_transition_styles,4.2779
bulgarian,86,,,,,no_family | no_related_styles | no_transition_styles,4.2669
cousin in trinidad wont get the vaccine,86,,,,,no_family | no_related_styles | no_transition_styles,4.2669
jersey club,86,,,,,no_family | no_related_styles | no_transition_styles,4.2669
new rave,86,,,,,no_family | no_related_styles | no_transition_styles,4.2669
trip-hop,86,,,,,no_family | no_related_styles | no_transition_styles,4.2669
axe,85,,,,,no_family | no_related_styles | no_transition_styles,4.2559
barcadi,85,,,,,no_family | no_related_styles | no_transition_styles,4.2559
deconstructed club,85,,,,,no_family | no_related_styles | no_transition_styles,4.2559
norwegian indie,85,,,,,no_family | no_related_styles | no_transition_styles,4.2559
outlaw country,133,country_folk,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.2542
belgian edm,132,electronic,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.2477
death by knife,84,,,,,no_family | no_related_styles | no_transition_styles,4.2447
melbourne bounce,84,,,,,no_family | no_related_styles | no_transition_styles,4.2447
theatre,84,,,,,no_family | no_related_styles | no_transition_styles,4.2447
bacardi,312,house,,0.45,fallback,fallback_confidence | low_primary_weight,4.2424
latin american,83,,,,,no_family | no_related_styles | no_transition_styles,4.2334
nature,83,,,,,no_family | no_related_styles | no_transition_styles,4.2334
norsk,83,,,,,no_family | no_related_styles | no_transition_styles,4.2334
urbano mexicano,83,,,,,no_family | no_related_styles | no_transition_styles,4.2334
champeta,82,,,,,no_family | no_related_styles | no_transition_styles,4.222
death by gun,82,,,,,no_family | no_related_styles | no_transition_styles,4.222
favourite,82,,,,,no_family | no_related_styles | no_transition_styles,4.222
japanese indie,82,,,,,no_family | no_related_styles | no_transition_styles,4.222
video,82,,,,,no_family | no_related_styles | no_transition_styles,4.222
nederpop,299,pop,,0.45,fallback,fallback_confidence | low_primary_weight,4.2111
alphaville,81,,,,,no_family | no_related_styles | no_transition_styles,4.2104
euro-dance,81,,,,,no_family | no_related_styles | no_transition_styles,4.2104
italo disco,81,,,,,no_family | no_related_styles | no_transition_styles,4.2104
pluggnb,81,,,,,no_family | no_related_styles | no_transition_styles,4.2104
indonesian singer-songwriter,126,country_folk,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.2076
guaracha,294,latin_tropical,,0.45,fallback,fallback_confidence | low_primary_weight,4.1987
anitta,80,,,,,no_family | no_related_styles | no_transition_styles,4.1987
escape room,80,,,,,no_family | no_related_styles | no_transition_styles,4.1987
greek,80,,,,,no_family | no_related_styles | no_transition_styles,4.1987
kleinkunst,80,,,,,no_family | no_related_styles | no_transition_styles,4.1987
national folk,124,country_folk,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.1938
belly dance,79,,,,,no_family | no_related_styles | no_transition_styles,4.1868
funkot,79,,,,,no_family | no_related_styles | no_transition_styles,4.1868
honky tonk,79,,,,,no_family | no_related_styles | no_transition_styles,4.1868
lagu timur,79,,,,,no_family | no_related_styles | no_transition_styles,4.1868
mass,79,,,,,no_family | no_related_styles | no_transition_styles,4.1868
non-music,79,,,,,no_family | no_related_styles | no_transition_styles,4.1868
bongo flava,288,african,,0.45,fallback,fallback_confidence | low_primary_weight,4.1835
cadbury sisters,78,,,,,no_family | no_related_styles | no_transition_styles,4.1748
contemporary r b,78,,,,,no_family | no_related_styles | no_transition_styles,4.1748
do not merge,78,,,,,no_family | no_related_styles | no_transition_styles,4.1748
eclectic,78,,,,,no_family | no_related_styles | no_transition_styles,4.1748
finnish indie,78,,,,,no_family | no_related_styles | no_transition_styles,4.1748
needs merging,78,,,,,no_family | no_related_styles | no_transition_styles,4.1748
sound ideas 6000 aviation 2,78,,,,,no_family | no_related_styles | no_transition_styles,4.1748
why has this not been merged yet,78,,,,,no_family | no_related_styles | no_transition_styles,4.1748
p-pop,284,pop,,0.45,fallback,fallback_confidence | low_primary_weight,4.1732
turreo,282,latin_urban,,0.45,fallback,fallback_confidence | low_primary_weight,4.168
breakbeat,120,bass_music,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.1656
dutch edm,120,electronic,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.1656
khaleeji iraqi,120,middle_eastern,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.1656
ar-rahman,77,,,,,no_family | no_related_styles | no_transition_styles,4.1626
cham cham,77,,,,,no_family | no_related_styles | no_transition_styles,4.1626
clean up,77,,,,,no_family | no_related_styles | no_transition_styles,4.1626
composition,77,,,,,no_family | no_related_styles | no_transition_styles,4.1626
female vocalists,77,,,,,no_family | no_related_styles | no_transition_styles,4.1626
hi-nrg,77,,,,,no_family | no_related_styles | no_transition_styles,4.1626
huayno,77,,,,,no_family | no_related_styles | no_transition_styles,4.1626
lame,77,,,,,no_family | no_related_styles | no_transition_styles,4.1626
lil baby,77,,,,,no_family | no_related_styles | no_transition_styles,4.1626
sapes comme jamais,77,,,,,no_family | no_related_styles | no_transition_styles,4.1626
sheilat,77,,,,,no_family | no_related_styles | no_transition_styles,4.1626
sober,77,,,,,no_family | no_related_styles | no_transition_styles,4.1626
latin ballad,279,pop,,0.45,fallback,fallback_confidence | low_primary_weight,4.1602
indie soul,118,rnb_soul,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.1511
classic iskelma,76,,,,,no_family | no_related_styles | no_transition_styles,4.1503
neo-soul,117,rnb_soul,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.1438
bootleg,75,,,,,no_family | no_related_styles | no_transition_styles,4.1378
lo-fi beats,75,,,,,no_family | no_related_styles | no_transition_styles,4.1378
poland,75,,,,,no_family | no_related_styles | no_transition_styles,4.1378
requiem,75,,,,,no_family | no_related_styles | no_transition_styles,4.1378
sierreno-banda,116,regional_mexican,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.1364
vinahouse,269,house,,0.45,fallback,fallback_confidence | low_primary_weight,4.1333
trap brasileiro,267,hip_hop,,0.45,fallback,fallback_confidence | low_primary_weight,4.1278
barbade,74,,,,,no_family | no_related_styles | no_transition_styles,4.1251
barbadian,74,,,,,no_family | no_related_styles | no_transition_styles,4.1251
barbadien,74,,,,,no_family | no_related_styles | no_transition_styles,4.1251
barbados,74,,,,,no_family | no_related_styles | no_transition_styles,4.1251
c'etait mieux avant,74,,,,,no_family | no_related_styles | no_transition_styles,4.1251
campirano,74,,,,,no_family | no_related_styles | no_transition_styles,4.1251
piano,74,,,,,no_family | no_related_styles | no_transition_styles,4.1251
rehab,74,,,,,no_family | no_related_styles | no_transition_styles,4.1251
rihanna,74,,,,,no_family | no_related_styles | no_transition_styles,4.1251
swedish,74,,,,,no_family | no_related_styles | no_transition_styles,4.1251
alt-country,114,country_folk,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.1214
rap genovese,263,hip_hop,,0.45,fallback,fallback_confidence | low_primary_weight,4.1167
sophisti-pop,263,pop,,0.45,fallback,fallback_confidence | low_primary_weight,4.1167
turkish singer-songwriter,113,country_folk,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.1138
20th century,73,,,,,no_family | no_related_styles | no_transition_styles,4.1123
acoustic,73,,,,,no_family | no_related_styles | no_transition_styles,4.1123
gabber,73,,,,,no_family | no_related_styles | no_transition_styles,4.1123
political,73,,,,,no_family | no_related_styles | no_transition_styles,4.1123
writer,73,,,,,no_family | no_related_styles | no_transition_styles,4.1123
つんく♂フロテュース,73,,,,,no_family | no_related_styles | no_transition_styles,4.1123
techengue,261,latin_urban,,0.45,fallback,fallback_confidence | low_primary_weight,4.1111
popular colombian music,260,pop,,0.45,fallback,fallback_confidence | low_primary_weight,4.1083
arrochadeira,112,brazilian,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.1062
rap belge,258,hip_hop,,0.45,fallback,fallback_confidence | low_primary_weight,4.1026
ascanio in alba,72,,,,,no_family | no_related_styles | no_transition_styles,4.0993
bikutsi,72,,,,,no_family | no_related_styles | no_transition_styles,4.0993
chinese,72,,,,,no_family | no_related_styles | no_transition_styles,4.0993
complete mozart edition,72,,,,,no_family | no_related_styles | no_transition_styles,4.0993
dj,72,,,,,no_family | no_related_styles | no_transition_styles,4.0993
film,72,,,,,no_family | no_related_styles | no_transition_styles,4.0993
gould,72,,,,,no_family | no_related_styles | no_transition_styles,4.0993
jamaican,72,,,,,no_family | no_related_styles | no_transition_styles,4.0993
karl ristenpart,72,,,,,no_family | no_related_styles | no_transition_styles,4.0993
late symphonies,72,,,,,no_family | no_related_styles | no_transition_styles,4.0993
melancholic,72,,,,,no_family | no_related_styles | no_transition_styles,4.0993
not acoustic,72,,,,,no_family | no_related_styles | no_transition_styles,4.0993
not aggressive,72,,,,,no_family | no_related_styles | no_transition_styles,4.0993
not sad,72,,,,,no_family | no_related_styles | no_transition_styles,4.0993
rothenberger,72,,,,,no_family | no_related_styles | no_transition_styles,4.0993
series-mozart-complete works-philips,72,,,,,no_family | no_related_styles | no_transition_styles,4.0993
volume 15,72,,,,,no_family | no_related_styles | no_transition_styles,4.0993
4th gen k-pop,256,pop,world_asian,0.45,fallback,fallback_confidence | low_primary_weight,4.0969
aussietronica,71,,,,,no_family | no_related_styles | no_transition_styles,4.0861
doujin,71,,,,,no_family | no_related_styles | no_transition_styles,4.0861
eurovision,71,,,,,no_family | no_related_styles | no_transition_styles,4.0861
hollands,71,,,,,no_family | no_related_styles | no_transition_styles,4.0861
nederlandse hardstyle,71,,,,,no_family | no_related_styles | no_transition_styles,4.0861
new zealand,71,,,,,no_family | no_related_styles | no_transition_styles,4.0861
oxford,71,,,,,no_family | no_related_styles | no_transition_styles,4.0861
plena uruguaya,71,,,,,no_family | no_related_styles | no_transition_styles,4.0861
plugg,71,,,,,no_family | no_related_styles | no_transition_styles,4.0861
polka,71,,,,,no_family | no_related_styles | no_transition_styles,4.0861
post-industrial,71,,,,,no_family | no_related_styles | no_transition_styles,4.0861
r & b italiano,71,,,,,no_family | no_related_styles | no_transition_styles,4.0861
frauenrap,252,hip_hop,,0.45,fallback,fallback_confidence | low_primary_weight,4.0853
maskandi,252,african,,0.45,fallback,fallback_confidence | low_primary_weight,4.0853
electro-disco,109,electronic,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.0828
southern soul,108,rnb_soul,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.0749
cantata,70,,,,,no_family | no_related_styles | no_transition_styles,4.0728
fictional,70,,,,,no_family | no_related_styles | no_transition_styles,4.0728
j-division,70,,,,,no_family | no_related_styles | no_transition_styles,4.0728
screamo,70,,,,,no_family | no_related_styles | no_transition_styles,4.0728
yolandita monge,70,,,,,no_family | no_related_styles | no_transition_styles,4.0728
neoperreo,244,latin_urban,,0.45,fallback,fallback_confidence | low_primary_weight,4.0616
pop argentino,244,pop,,0.45,fallback,fallback_confidence | low_primary_weight,4.0616
alliteration,69,,,,,no_family | no_related_styles | no_transition_styles,4.0592
arranger,69,,,,,no_family | no_related_styles | no_transition_styles,4.0592
australien,69,,,,,no_family | no_related_styles | no_transition_styles,4.0592
bebop,69,,,,,no_family | no_related_styles | no_transition_styles,4.0592
bubblegum bass,69,,,,,no_family | no_related_styles | no_transition_styles,4.0592
funktronica,69,,,,,no_family | no_related_styles | no_transition_styles,4.0592
hardstyle,69,,,,,no_family | no_related_styles | no_transition_styles,4.0592
horror,69,,,,,no_family | no_related_styles | no_transition_styles,4.0592
mundart,69,,,,,no_family | no_related_styles | no_transition_styles,4.0592
roxette,69,,,,,no_family | no_related_styles | no_transition_styles,4.0592
the greatest,69,,,,,no_family | no_related_styles | no_transition_styles,4.0592
ndombolo,239,african,,0.45,fallback,fallback_confidence | low_primary_weight,4.0464
dylan bootleg series,68,,,,,no_family | no_related_styles | no_transition_styles,4.0455
greenwich village scene,68,,,,,no_family | no_related_styles | no_transition_styles,4.0455
lagu jawa,68,,,,,no_family | no_related_styles | no_transition_styles,4.0455
lolicore,68,,,,,no_family | no_related_styles | no_transition_styles,4.0455
new grave,68,,,,,no_family | no_related_styles | no_transition_styles,4.0455
nude,68,,,,,no_family | no_related_styles | no_transition_styles,4.0455
pc music,68,,,,,no_family | no_related_styles | no_transition_styles,4.0455
pledging my time,68,,,,,no_family | no_related_styles | no_transition_styles,4.0455
polish alternative,68,,,,,no_family | no_related_styles | no_transition_styles,4.0455
rare,68,,,,,no_family | no_related_styles | no_transition_styles,4.0455
sacred cows,68,,,,,no_family | no_related_styles | no_transition_styles,4.0455
siple twist of fate,68,,,,,no_family | no_related_styles | no_transition_styles,4.0455
teater konsert,68,,,,,no_family | no_related_styles | no_transition_styles,4.0455
chicha,238,latin_tropical,,0.45,fallback,fallback_confidence | low_primary_weight,4.0433
scandipop,236,pop,,0.45,fallback,fallback_confidence | low_primary_weight,4.0371
rage,235,hip_hop,,0.45,fallback,fallback_confidence | low_primary_weight,4.034
best,67,,,,,no_family | no_related_styles | no_transition_styles,4.0315
birmingham,67,,,,,no_family | no_related_styles | no_transition_styles,4.0315
dancefloor dnb,67,,,,,no_family | no_related_styles | no_transition_styles,4.0315
dutch indie,67,,,,,no_family | no_related_styles | no_transition_styles,4.0315
hyphy,67,,,,,no_family | no_related_styles | no_transition_styles,4.0315
mexican indie,67,,,,,no_family | no_related_styles | no_transition_styles,4.0315
mexico,67,,,,,no_family | no_related_styles | no_transition_styles,4.0315
rhythmic,67,,,,,no_family | no_related_styles | no_transition_styles,4.0315
italian singer-songwriter,102,country_folk,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.0257
hello project,66,,,,,no_family | no_related_styles | no_transition_styles,4.0174
irish,66,,,,,no_family | no_related_styles | no_transition_styles,4.0174
latin indie,66,,,,,no_family | no_related_styles | no_transition_styles,4.0174
organist,66,,,,,no_family | no_related_styles | no_transition_styles,4.0174
tryt,66,,,,,no_family | no_related_styles | no_transition_styles,4.0174
classical period,101,classical,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.0172
latin dance,65,,,,,no_family | no_related_styles | no_transition_styles,4.003
texas,65,,,,,no_family | no_related_styles | no_transition_styles,4.003
british soul,99,rnb_soul,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.0
pagode novo,99,brazilian,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,4.0
pop reggaeton,223,caribbean,latin_urban | pop,0.45,fallback,fallback_confidence | low_primary_weight,3.9954
afrogospel,98,gospel_spiritual,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,3.9913
shaabi,98,middle_eastern,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,3.9913
afrikaans,64,,,,,no_family | no_related_styles | no_transition_styles,3.9884
australie,64,,,,,no_family | no_related_styles | no_transition_styles,3.9884
batak,64,,,,,no_family | no_related_styles | no_transition_styles,3.9884
darkwave,64,,,,,no_family | no_related_styles | no_transition_styles,3.9884
edit,64,,,,,no_family | no_related_styles | no_transition_styles,3.9884
funk de bh,64,,,,,no_family | no_related_styles | no_transition_styles,3.9884
girlpower,64,,,,,no_family | no_related_styles | no_transition_styles,3.9884
on writing,64,,,,,no_family | no_related_styles | no_transition_styles,3.9884
tekk,64,,,,,no_family | no_related_styles | no_transition_styles,3.9884
uk contemporary r & b,64,,,,,no_family | no_related_styles | no_transition_styles,3.9884
melodic metalcore,97,metal,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,3.9825
britney spears,63,,,,,no_family | no_related_styles | no_transition_styles,3.9736
edge of glory,63,,,,,no_family | no_related_styles | no_transition_styles,3.9736
gata rahe mera dil,63,,,,,no_family | no_related_styles | no_transition_styles,3.9736
neue deutsche welle,63,,,,,no_family | no_related_styles | no_transition_styles,3.9736
saxx dreams,63,,,,,no_family | no_related_styles | no_transition_styles,3.9736
scandinavian r & b,63,,,,,no_family | no_related_styles | no_transition_styles,3.9736
the fame,63,,,,,no_family | no_related_styles | no_transition_styles,3.9736
vocaloid,63,,,,,no_family | no_related_styles | no_transition_styles,3.9736
nu-metal,96,metal,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,3.9735
trap tuga,216,hip_hop,,0.45,fallback,fallback_confidence | low_primary_weight,3.972
dark ambient,95,electronic,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,3.9645
bubblegum dance,62,,,,,no_family | no_related_styles | no_transition_styles,3.9585
dansband,62,,,,,no_family | no_related_styles | no_transition_styles,3.9585
nashville sound,62,,,,,no_family | no_related_styles | no_transition_styles,3.9585
punta,62,,,,,no_family | no_related_styles | no_transition_styles,3.9585
k-ballad,212,pop,,0.45,fallback,fallback_confidence | low_primary_weight,3.9582
rap latina,209,hip_hop,,0.45,fallback,fallback_confidence | low_primary_weight,3.9478
big beat,61,,,,,no_family | no_related_styles | no_transition_styles,3.9433
chill,61,,,,,no_family | no_related_styles | no_transition_styles,3.9433
girl crush,61,,,,,no_family | no_related_styles | no_transition_styles,3.9433
hello project groups,61,,,,,no_family | no_related_styles | no_transition_styles,3.9433
hello project kids,61,,,,,no_family | no_related_styles | no_transition_styles,3.9433
nigo,61,,,,,no_family | no_related_styles | no_transition_styles,3.9433
r & b brasileiro,61,,,,,no_family | no_related_styles | no_transition_styles,3.9433
cubaton,60,,,,,no_family | no_related_styles | no_transition_styles,3.9277
fado,60,,,,,no_family | no_related_styles | no_transition_styles,3.9277
indie dance,60,,,,,no_family | no_related_styles | no_transition_styles,3.9277
j-acoustic,60,,,,,no_family | no_related_styles | no_transition_styles,3.9277
old school thrash,60,,,,,no_family | no_related_styles | no_transition_styles,3.9277
rumba,60,,,,,no_family | no_related_styles | no_transition_styles,3.9277
shocking,60,,,,,no_family | no_related_styles | no_transition_styles,3.9277
electrocumbia,203,electronic,latin_tropical,0.45,fallback,fallback_confidence | low_primary_weight,3.9264
hardcore,90,metal,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,3.9181
british-american,59,,,,,no_family | no_related_styles | no_transition_styles,3.9119
caesar,59,,,,,no_family | no_related_styles | no_transition_styles,3.9119
dance music,59,,,,,no_family | no_related_styles | no_transition_styles,3.9119
daniel,59,,,,,no_family | no_related_styles | no_transition_styles,3.9119
death by diabetes,59,,,,,no_family | no_related_styles | no_transition_styles,3.9119
fleetwood mac,59,,,,,no_family | no_related_styles | no_transition_styles,3.9119
liquid funk,59,,,,,no_family | no_related_styles | no_transition_styles,3.9119
party,59,,,,,no_family | no_related_styles | no_transition_styles,3.9119
puerto rico,59,,,,,no_family | no_related_styles | no_transition_styles,3.9119
toronto,59,,,,,no_family | no_related_styles | no_transition_styles,3.9119
warp,59,,,,,no_family | no_related_styles | no_transition_styles,3.9119
reggae en espanol,198,caribbean,,0.45,fallback,fallback_confidence | low_primary_weight,3.9081
icelandic singer-songwriter,88,country_folk,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,3.8988
belgian indie,58,,,,,no_family | no_related_styles | no_transition_styles,3.8959
indie quebecois,58,,,,,no_family | no_related_styles | no_transition_styles,3.8959
new york,58,,,,,no_family | no_related_styles | no_transition_styles,3.8959
highlife,194,african,,0.45,fallback,fallback_confidence | low_primary_weight,3.8931
post-britpop,194,pop,rock,0.45,fallback,fallback_confidence | low_primary_weight,3.8931
classic country,87,country_folk,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,3.889
swedish singer-songwriter,87,country_folk,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,3.889
absolute,57,,,,,no_family | no_related_styles | no_transition_styles,3.8795
deathcore,57,,,,,no_family | no_related_styles | no_transition_styles,3.8795
doo-wop,57,,,,,no_family | no_related_styles | no_transition_styles,3.8795
doujin circle,57,,,,,no_family | no_related_styles | no_transition_styles,3.8795
italian alternative,57,,,,,no_family | no_related_styles | no_transition_styles,3.8795
pop venezolano,190,pop,,0.45,fallback,fallback_confidence | low_primary_weight,3.8778
bubblegum,56,,,,,no_family | no_related_styles | no_transition_styles,3.8629
alternative electronic,84,electronic,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,3.8588
shoegaze,183,rock,,0.45,fallback,fallback_confidence | low_primary_weight,3.8502
tamil indie,83,world_asian,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,3.8486
argentine indie,55,,,,,no_family | no_related_styles | no_transition_styles,3.846
domino,55,,,,,no_family | no_related_styles | no_transition_styles,3.846
gamer,55,,,,,no_family | no_related_styles | no_transition_styles,3.846
levenslied,55,,,,,no_family | no_related_styles | no_transition_styles,3.846
sheffield,55,,,,,no_family | no_related_styles | no_transition_styles,3.846
folktronica,82,country_folk,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,3.8382
icelandic electronic,82,electronic,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,3.8382
134a,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
alternative hip-hop,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
bach,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
bertalan hock,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
cantata 147,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
euro-disco,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
free improvisation,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
gothenburg indie,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
gramophone selection,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
helmut walcha,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
italian composer,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
lgbtqi,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
maluku,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
mathauspassion,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
melbourne bounce international,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
motet,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
six,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
turkish alternative,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
vaporwave,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
vox,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
wagner,54,,,,,no_family | no_related_styles | no_transition_styles,3.8288
post-metal,81,metal,,0.45,fallback,fallback_confidence | low_primary_weight | no_transition_styles,3.8276
hip hop soul,176,hip_hop,rnb_soul,0.45,fallback,fallback_confidence | low_primary_weight,3.8216
trap chileno,174,hip_hop,,0.45,fallback,fallback_confidence | low_primary_weight,3.8132
a,53,,,,,no_family | no_related_styles | no_transition_styles,3.8113
afrofuturismo brasileiro,53,,,,,no_family | no_related_styles | no_transition_styles,3.8113
anthemic,53,,,,,no_family | no_related_styles | no_transition_styles,3.8113
global warming meltdown,53,,,,,no_family | no_related_styles | no_transition_styles,3.8113
look again,53,,,,,no_family | no_related_styles | no_transition_styles,3.8113
maltido,53,,,,,no_family | no_related_styles | no_transition_styles,3.8113
pitbull,53,,,,,no_family | no_related_styles | no_transition_styles,3.8113
secret,53,,,,,no_family | no_related_styles | no_transition_styles,3.8113
tell me,53,,,,,no_family | no_related_styles | no_transition_styles,3.8113
trova,53,,,,,no_family | no_related_styles | no_transition_styles,3.8113
