Genre,TrackCount
"kizomba, zouk, kompa",15
"norteno, grupera, norteno sax, banda, ranchera, cumbia nortena",15
"bedroom pop, indie pop, norwegian indie, pov: indie",14
"bedroom pop, pop, pov: indie",14
"contemporary country, modern country pop",14
"acoustic opm, opm, p-pop",14
"motown, soul",14
"dance pop, pop, post-teen pop",14
"australian pop, pop",14
"dance pop, edm, house, pop dance, uk dance, uk pop",14
"edm, house, indietronica, uk dance",14
"electronica argentina, latin alternative, latin rock, pop electronico, rock en espanol",14
"indie rock, indietronica, modern alternative rock, modern rock, rock",14
"memphis hip hop, rap, southern hip hop, tennessee hip hop, trap",14
"salsa, salsa venezolana, tropical",14
trap queen,14
british soul,14
"folk-pop, modern rock",14
"reggaeton colombiano, urbano latino",14
"cali rap, pop rap",14
"karneval, kolsche karneval",14
"alternative metal, art rock, nu metal, post-grunge, progressive metal, progressive rock, rock",14
"australian hip hop, dance pop, pop",14
cumbia villera,14
"t-pop, thai hip hop, thai indie pop",14
"latin pop, pop venezolano, reggaeton, trap latino, urbano latino",14
greek fem rap,14
"deep euro house, german dance",14
"reggaeton chileno, trap chileno, trap latino, urbano chileno",14
"czsk hip hop, slovak hip hop, slovak trap",14
"deep pop edm, electronic trap",14
"classic texas country, contemporary country, country dawn",14
"funk carioca, funk consciente, funk ostentacao, funk paulista",14
"balkan trap, turbo folk",14
"cloud rap, dark trap, new orleans rap, underground hip hop",14
"alternative metal, hard rock, metal, nwobhm, rock",14
"german hip hop, hamburg hip hop, kurdish hip hop",14
"canadian rock, kingston on indie, ontario indie, rock",14
antideutsche,14
classic czech pop,14
"belgian hip hop, belgian rock, kleinkunst",14
czsk viral pop,14
"latin arena pop, spanish pop, spanish pop rock",14
"norwegian pop, norwegian pop rap, swedish reggae",14
"laulaja-lauluntekija, suomi rock",14
"ukrainian edm, ukrainian pop",14
"finnish electro, finnish indie, suomi rock",14
"pakistani indie, pakistani pop, urdu hip hop",14
j-rap,14
"anime, anime rock, j-pop, j-rock",14
"central asian hip hop, kazakh hip hop, kazakh pop",14
"kazakh indie, kazakh pop",14
"latvian hip hop, latvian pop",14
"russian alt pop, russian indie",14
trap maroc,14
"opm, p-pop, pinoy idol pop",14
"polish alternative rap, polish hip hop, polish old school hip hop",14
"classic romanian pop, romanian pop",14
"afro soul, kasi rap, south african hip hop, south african pop",14
"chinese electropop, mandopop, taiwan pop",14
thai pop rap,14
"t-pop, thai indie pop, thai indie rock, thai pop",14
"classic russian rock, horror punk, russian folk rock, russian metal, russian punk, russian punk rock, russian rock, russian ska",14
"kazakh viral pop, kyrgyz hip hop",14
"mandopop, taiwan indie, taiwanese indie",14
"t-pop, thai indie pop, thai indie rock",14
"norwegian hip hop, russelater, norwegian pop",14
"epadunk, russelater",14
"sertanejo, sertanejo universitario, arrocha",14
"sertanejo, agronejo, sertanejo universitario",14
"afrobeats, afro adura, afrobeat, afropiano, afropop, amapiano, afroswing",14
"k-rock, k-pop",14
"chilean trap, reggaeton chileno, chilean mambo, mambo, urbano latino",14
"tropical music, cumbia",14
"khaleeji, egyptian pop, sholawat",14
"corrido, corridos tumbados, corridos belicos, musica mexicana, sad sierreno, electro corridos, sierreno, banda",14
"banda, corrido, norteno, sierreno, grupera, ranchera, musica mexicana",14
"old school hip hop, gangster rap, west coast hip hop, g-funk, hip hop",14
"ghanaian hip hop, asakaa, hiplife, afrobeats, azonto, afrobeat, afropop, highlife",14
"norteno, grupera, tejano, cumbia nortena, banda",14
"alt z, pop, pov: indie",13
"funk carioca, funk mtg, funk paulista",13
"indie poptimism, pop",13
"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino",13
"florida drill, florida rap, melodic rap, miami hip hop, rap, trap, trap latino",13
indie triste,13
"pop dance, uk dance",13
"chill phonk, drift phonk",13
"big room, brostep, dutch edm, edm, house, pop dance, slap house, trance",13
"house, uk dance",13
"italian hip hop, italian pop, italian underground hip hop",13
"melodic metalcore, metalcore, modern rock, rock, uk metalcore",13
zhenskiy rep,13
"pop dance, pop house, uk dance, uk pop",13
chill pop,13
"drill francais, french hip hop, melodic drill, pop urbaine, rap francais",13
"barnmusik, barnsagor",13
"dangdut koplo, javanese dangdut, lagu jawa",13
"british singer-songwriter, folk-pop, indie folk",13
"opm, pinoy hip hop, pinoy r&b, pinoy trap",13
glam rock,13
"latin arena pop, latin pop, mexican pop, musica tlaxcalteca",13
"alternative dance, garage rock, indie rock, indietronica, modern alternative rock, modern rock, oxford indie, shimmer pop",13
"brazilian hip hop, rap df",13
"argentine hip hop, rap latina",13
"brighton indie, garage rock, modern alternative rock, modern blues rock, modern hard rock, modern rock, rock",13
"canadian contemporary r&b, canadian hip hop",13
brazilian edm,13
malay rap,13
"malaysian pop, rock kapak",13
"latin pop, reggaeton, urbano latino",13
"cumbia 420, cumbia pop",13
trap chileno,13
charva,13
"funk carioca, funk consciente, funk paulista",13
"oyun havasi, turkish pop, turkish rock",13
"brazilian hip hop, funk carioca, pop nacional, sertanejo universitario",13
"metropopolis, neo-synthpop",13
"german jazz rap, german pop, hamburg hip hop, oldschool deutschrap",13
"turkce drill, turkish trap",13
"belgian edm, dancefloor dnb, drum and bass",13
"pop reggaeton, pop venezolano, trap latino, urbano latino",13
"czech pop, czech rock",13
"russian hip hop, ukrainian hip hop",13
kleinkunst,13
"alternative rock, baroque pop, canadian indie, canadian indie rock, chamber pop, indie rock, indietronica, modern rock, permanent wave, quebec indie, rock",13
"conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap",13
vocaloid,13
"swedish dancehall, swedish eurodance, swedish hip hop, swedish pop",13
"russian drain, russian hip hop, russian viral rap",13
"greek fem rap, greek hip hop, greek pop",13
"dembow, rap dominicano, trap dominicano",13
"dutch indie, dutch pop, dutch rock",13
"dance pop, danish pop, electropop, pop dance",13
"german alternative rock, german pop, german punk, german rock",13
"grupera, latin pop, musica mexicana, ranchera",13
"pop flamenco, rock andaluz, rumba, spanish pop",13
"cantautor, latin rock, rock alternativo espanol, spanish indie pop, spanish rock",13
cumbia salvadorena,13
classic canadian rock,13
christian hip hop,13
"finnish dance pop, finnish hip hop, finnish trap",13
"gothic symphonic metal, power metal, symphonic metal",13
hong kong rock,13
"k-pop, korean pop, korean r&b",13
"pakistani indie, urdu hip hop",13
nasheed,13
"italian adult pop, italian alternative",13
"kazakh viral pop, q-pop",13
"malaysian hip hop, malaysian pop",13
rai algerien,13
"north moroccan rap, rap maroc",13
"australian talent show, nz christian, nz pop",13
"afrobeats, afropop, alte, azontobeats, nigerian hip hop, nigerian pop",13
"opm, pinoy pop punk",13
slovak pop,13
south african hip hop,13
afro soul,13
"norrlandsk hip hop, swedish hip hop, swedish pop, swedish pop rap",13
"mundart, swiss hip hop",13
"taiwan indie, taiwan pop",13
t-pop girl group,13
"chinese idol pop, k-pop",13
"indie viet, v-pop, vietnamese singer-songwriter",13
"agronejo, sertanejo, sertanejo universitario",13
"bollywood, desi pop, hindi pop",13
"canzone napoletana, neomelodico",13
"afrobeats, afrobeat, afropop, afro r&b, afropiano, alte, afroswing, afro adura, afro soul",13
"j-pop, j-rock, japanese indie, anime",13
schlagerparty,13
"afro soul, afropop",13
"thai pop, t-pop, thai rock",13
"v-pop, vietnamese lo-fi, vietnam indie",13
"malayalam hip hop, malayalam pop, mollywood",13
"afrobeats, afrobeat, afropiano, afro adura, afropop, amapiano, afroswing, afro r&b",13
"hindi pop, bollywood, desi, bangla pop",13
"italian trap, drill, uk drill",13
"afro adura, afrobeat, afrobeats, afro soul, afro r&b, afropop, afropiano",13
"maskandi, afro soul, afropop",13
"j-pop, japanese indie, j-rock, anime",13
"reggaeton, latin afrobeats, urbano latino, pop urbano",13
"pagode, brazilian pop, funk pop, brazilian funk, pagode baiano, funk carioca",13
"hip hop, east coast hip hop, rap",13
"ghanaian hip hop, asakaa, hiplife, alte, afrobeats, afro adura, afrobeat, afropop, highlife, afroswing",13
"banda, brass band",13
viral rap,12
canadian contemporary r&b,12
indie pop,12
"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",12
"canadian pop, dance pop, pop",12
"deep house, house",12
alternative hip hop,12
reggae fusion,12
"turkish alt pop, turkish pop",12
"german dance, pop dance, pop edm, uk dance",12
"r&b en espanol, rap latina",12
"turkish pop, turkish singer-songwriter",12
"boy band, rap",12
"contemporary country, country, country dawn, country road",12
"cumbia pop, previa",12
"afroswing, london rap, uk hip hop",12
"canadian singer-songwriter, melancholia, permanent wave, singer-songwriter",12
"blues, blues rock, classic rock, electric blues, jazz blues, soul blues, traditional blues",12
"cloud rap francais, french hip hop, pop urbaine, rap francais",12
"dancehall, dancehall queen, jamaican dancehall, modern reggae",12
malaysian mandopop,12
pop boliviano,12
"sertanejo, sertanejo pop",12
"electropop, indie poptimism",12
"pop rap, r&b, rap, southern hip hop, trap",12
"indie anthem-folk, irish rock",12
"albanian pop, basshall",12
"reggaeton chileno, trap chileno, urbano chileno",12
sgija,12
"greek pop, greek swing",12
"cypriot pop, greek pop, laiko",12
"canadian contemporary r&b, r&b",12
"classic colombian pop, cumbia, musica popular colombiana, tropical",12
"5th gen k-pop, k-pop girl group",12
"lithuanian hip hop, lithuanian pop, lithuanian trap",12
"electropop, swedish electropop, swedish pop, swedish synthpop",12
"russian hip hop, russian rock",12
"jersey club, russian hip hop",12
"anime, j-division, j-pop",12
"belgian pop, classic belgian pop, kleinkunst",12
"electronica, icelandic electronic, icelandic pop, trip hop",12
nova mpb,12
"thai indie, thai pop",12
gaita zuliana,12
"corrido, corridos tumbados, musica mexicana, norteno, sad sierreno, sierreno",12
"egyptian pop, egyptian viral pop",12
arabic hip hop,12
"kazakh hip hop, kazakh pop, russian dance, russian hip hop, russian pop",12
"finnish dance pop, finnish pop, finnish reggae",12
"disco, hi-nrg",12
"cantopop, hk-pop, hong kong hip hop",12
"irish pop, modern rock, neo mellow",12
"nasheed, rif, sholawat",12
"opm, p-pop, pinoy trap",12
"drill italiana, emo rap italiano, italian hip hop, trap italiana",12
"italian adult pop, italian pop rock",12
"anime, j-pop, j-poprock, j-rock",12
"afrobeats, afroswing, nigerian pop",12
"norwegian hip hop, norwegian pop, norwegian pop rap, scandinavian r&b",12
"danspunk, swedish eurodance, swedish pop rap",12
swedish pop rap,12
south african gospel,12
"fotbollslatar, swedish pop, swedish pop rap",12
"taiwan hip hop, taiwan pop",12
"ukrainian psychedelic, ukrainian viral pop",12
"v-pop, vietnamese hip hop, vietnamese melodic rap, vietnamese trap",12
"french hip hop, pop urbaine, r&b francais, rap conscient",12
"russian dance, russian hip hop",12
"belarusian hip hop, belarusian pop, russian hip hop, russian pop",12
"russian dance pop, russian pop",12
"classic israeli pop, israeli rock, israeli singer-songwriter",12
italo dance,12
latmiya,12
"taiwan pop, taiwan singer-songwriter",12
"chinese hip hop, chinese r&b",12
german indie,12
"french rap, chanson, french pop",12
"sertanejo, sertanejo universitario, agronejo, arrocha",12
"synthpop, new wave",12
"egyptian pop, mahraganat, egyptian shaabi, khaleeji",12
"mahraganat, egyptian shaabi, egyptian pop",12
"cantopop, chinese r&b",12
"indonesian pop, indonesian indie",12
hollands,12
"amapiano, afropiano, afrobeat, afrobeats, afro adura",12
"thai pop, t-pop",12
"cumbia, chicha, huayno, cumbia nortena",12
"mandopop, taiwanese pop, c-pop, cantopop",12
"malay, malaysian pop, malay pop",12
"malayalam pop, mollywood, malayalam hip hop",12
"mandopop, taiwanese pop, taiwanese indie, c-pop, chinese indie",12
"k-pop, k-ballad",12
"anatolian rock, turkish pop",12
"indian indie, hindi indie, desi, desi hip hop, desi pop",12
"afrobeats, afrobeat, afropop, afropiano, hiplife, afro r&b",12
"urbano latino, trap latino",12
"afrobeats, afrobeat, afropop, afro r&b, afropiano, afro soul, afroswing",12
"reggaeton chileno, chilean mambo, chilean trap",12
"reggaeton chileno, chilean trap, chilean mambo, reggaeton mexa, mambo, reggaeton",12
"afrobeats, afrobeat, alte, afropop, afropiano, afro r&b, amapiano",12
"gospel, worship",12
"amapiano, private school piano, 3 step, gqom, afropiano, afro tech, afro house",12
tropical music,12
"brazilian funk, trap funk",12
"hiplife, ghanaian hip hop, azonto, afrobeats, asakaa, afrobeat, highlife, afropop",12
"rap ivoire, coupe decale, new wave",12
disco house,12
"norteno, grupera, tejano, banda, cumbia nortena",12
modern indie pop,11
indie r&b,11
"gen z singer-songwriter, singer-songwriter pop",11
"speedrun, video game music",11
pinoy hip hop,11
"cdo indie, opm, p-pop",11
"agronejo, sertanejo, sertanejo pop",11
"arrocha, axe, mpb, pagode, pop nacional, samba reggae, sertanejo universitario",11
"dance pop, pop dance, uk dance",11
"g funk, gangster rap, hip hop, rap, west coast rap",11
"melodic drill, uk drill",11
sad rap,11
"alt z, singer-songwriter pop",11
tech house,11
"black americana, contemporary country, country, country road",11
bedroom soul,11
"cubaton, electro latino, latin hip hop, latin pop, reparto",11
"melodic rap, rap conscient",11
"cdo indie, opm, pinoy singer-songwriter",11
"candy pop, dance pop, electropop, metropopolis, swedish electropop, swedish synthpop",11
"acoustic pop, dance pop, neo mellow, pop",11
"indie anthem-folk, uk pop",11
"british singer-songwriter, uk pop",11
"pop dance, swedish tropical house",11
"cha-cha-cha, cuban rumba, mambo, musica tradicional cubana, salsa",11
german trap,11
"thai indie pop, thai pop",11
"cumbia 420, cumbia pop, cumbia villera",11
"glasgow indie, scottish indie rock",11
a cappella,11
"canadian hip hop, canadian trap",11
"polish hip hop, polish underground rap",11
"afrofuturismo brasileiro, pop nacional, r&b brasileiro",11
"colombian hip hop, reggaeton, reggaeton colombiano, trap latino, urbano latino",11
"alt z, gen z singer-songwriter, uk pop",11
cloud rap francais,11
"musica santomense, portuguese pop",11
"electronica, future garage, indie soul, indietronica",11
"colombian pop, reggaeton, reggaeton colombiano, urbano latino",11
brega funk,11
austropop,11
"nederlandse hardstyle, tekk",11
"dutch house, edm, electro house, future house, pop dance, progressive electro house",11
french indie pop,11
"afrobeats, afroswing, uk dancehall, uk hip hop",11
"aussietronica, australian electropop, australian indie, edm",11
"classic greek pop, cypriot pop, greek pop, laiko",11
"albanian pop, tallava",11
indie poptimism,11
"afroswing, grime, uk dancehall, uk hip hop",11
"australian hip hop, australian trap",11
"czech hip hop, czsk hip hop, slovak trap",11
"classic danish pop, danish pop, danish pop rock",11
czech rock,11
"downtempo, electronica, trip hop",11
"cumbia boliviana, pop boliviano",11
rock kapak,11
"classic danish pop, dansktop",11
reggaeton mexicano,11
"cantautor, spanish pop, trova",11
hardwave,11
"latin arena pop, pop flamenco, spanish pop, spanish pop rock",11
"latin arena pop, pop flamenco, spanish pop",11
"rap politico, spanish hip hop",11
indie extremena,11
"egyptian pop, mahraganat, shaabi",11
estonian electronic,11
suomi rock,11
"french pop, french rock, pop quebecois",11
"cloud rap francais, french hip hop",11
hong kong hip hop,11
"indonesian jazz, indonesian pop, jazz pop",11
"israeli hip hop, israeli indie",11
"anime, j-pop, j-rock, japanese teen pop",11
japanese r&b,11
"polish alternative rock, polish pop",11
"dutch indie, dutch pop, dutch rock, folk-pop, nederreggae",11
"dutch hip hop, dutch rap pop, nederreggae",11
lullaby,11
"swedish idol pop, swedish pop, swedish pop rap",11
"modern salsa, salsa peruana",11
"pinoy hip hop, pinoy r&b",11
polish underground rap,11
"conscious hip hop, romanian rap",11
"swedish gangsta rap, swedish hip hop",11
"chinese r&b, mandopop, taiwan pop, taiwan singer-songwriter",11
"persian pop, turkish pop",11
"ukrainian hip hop, ukrainian pop",11
"arrochadeira, deboxe, funk 150 bpm, funk mtg, funk rj, trap funk",11
"russian gangster rap, russian hip hop, russian pop",11
"c-pop, classic mandopop",11
"russian hip hop, russian reggae, russian rock",11
"mandopop, taiwan pop, taiwan singer-songwriter",11
"deep german indie, t-pop, thai pop",11
"shatta, french rap",11
"bhangra, punjabi pop, punjabi hip hop, desi, bollywood",11
"french house, disco house",11
"afropop, afro soul, maskandi",11
"trova, singer-songwriter, latin folk, nueva trova, candombe",11
"j-pop, j-rap",11
"gospel, african gospel",11
"afro adura, afrobeat, afrobeats",11
"mandopop, taiwanese pop, c-pop",11
"bollywood, desi, hindi pop",11
reggaeton mexa,11
"cantopop, mandopop, c-pop, taiwanese pop",11
"chilean trap, reggaeton chileno",11
"west coast hip hop, g-funk, gangster rap, old school hip hop",11
"afro adura, afrobeat, afrobeats, afropiano, afropop",11
"french pop, variete francaise, chanson",11
"nz reggae, reggae",11
"dancehall, soca, ragga, riddim, reggae",11
"chinese hip hop, taiwanese pop, chinese r&b, taiwanese indie, chinese indie, mandopop",11
"big room, electronica, edm",11
"reggaeton chileno, chilean trap, chilean mambo, guaracha, mambo",11
"afrobeats, afrobeat, afropop, afro r&b, afro adura, afropiano, alte, afroswing, afro soul",11
"acid techno, hard techno, techno, tekno",11
"hard techno, acid techno",11
trance,11
"afropop, afro soul, maskandi, 3 step",11
"afro house, house, afro tech",11
"jazz rap, east coast hip hop, old school hip hop, hip hop",11
"gospel, traditional gospel",11
"french r&b, pop urbaine, french rap, french pop",11
"soca, calypso, dancehall",11
bongo piano,11
"chicha, cumbia, electrocumbia",11
"corrido, sad sierreno",10
"desi pop, hindi indie, indian indie, indian singer-songwriter",10
folk-pop,10
"album rock, classic rock, rock, soft rock, yacht rock",10
"dance pop, neo mellow, pop, pop rock",10
"dance pop, dancehall, pop, pop rap",10
neo soul,10
"pop rap, trap",10
"folk-pop, neo mellow",10
"desi pop, hindi hip hop",10
"adult standards, lounge, soul, swing, vocal jazz",10
"new beat, tamil pop",10
"dutch house, edm, electro house, house, pop dance, progressive electro house, progressive house",10
"french indie pop, french rock",10
dark r&b,10
"dance rock, new romantic, new wave, permanent wave, rock, synthpop",10
"boston hip hop, hip hop, pop rap, rap",10
"desi hip hop, hindi hip hop",10
"brostep, complextro, edm, electro, pop dance",10
irish hip hop,10
"chilean rock, concepcion indie, latin alternative, latin rock, rock en espanol",10
"contemporary country, country, country pop, country road, modern country rock",10
"new school turkce rap, turkce trap metal",10
"art pop, indie soul, indietronica, uk alternative pop",10
"comic, pov: indie",10
"israeli pop, israeli rock",10
"monterrey indie, urbano mexicano",10
"gauze pop, indietronica, modern rock, pov: indie, shiver pop",10
"latin house, salsa, tropical",10
barnmusik,10
r&b en espanol,10
"cuarteto, cumbia villera",10
"canadian electronic, dutch house, edm, electro house, pop dance, progressive electro house, slap house",10
"emo, modern rock, pop, rock",10
"dance pop, electropop, neo-synthpop, scandipop, swedish electropop, swedish pop",10
"dance pop, pop dance, talent show, uk pop",10
venezuelan hip hop,10
swedish alternative rock,10
new york drill,10
"bolero, latin pop",10
rap chileno,10
"dirty south rap, gangster rap, hip hop, rap, southern hip hop, trap",10
jawaiian,10
"carnaval, nederlandse hardstyle",10
neue neue deutsche welle,10
barcadi,10
"dancefloor dnb, pop dance, uk dance",10
"bachata, dominican pop, reggae en espanol",10
"dance pop, edm, electro house, electropowerpop, pop dance",10
"indietronica, metropopolis, neo-synthpop, shimmer pop",10
"art pop, electro-pop francais, metropopolis, shimmer pop",10
"german pop, indie viet",10
"belgian indie, belgian rock, ghent indie",10
"alt z, uk pop",10
"greek hip hop, greek trap, greek underground rap",10
"czech hip hop, czsk hip hop, czsk viral pop",10
"arrocha, sertanejo universitario",10
deep talent show,10
"corrido, corridos tumbados, sad sierreno, trap latino, urbano latino",10
vapor pop,10
"australian indie, australian pop",10
"latin pop, spanish pop",10
"auckland indie, etherpop, indietronica, metropopolis, nz pop",10
"bassline, charva, nottingham hip hop",10
"alternative rock, chamber pop, permanent wave, singer-songwriter",10
"swedish idol pop, swedish pop, uppsala indie",10
"g funk, gangster rap, hip hop, pop rap, rap, west coast rap",10
dutch edm,10
operatic pop,10
"alternative rock, britpop, madchester, permanent wave, rock",10
"austrian indie, austrian pop, austropop",10
bulgarian hip hop,10
"romanian house, romanian pop",10
"latin arena pop, latin pop, mexican pop, reggaeton",10
"pagode, pagode novo, sertanejo, sertanejo universitario",10
"arrocha, forro, forro de favela, funk carioca",10
banda,10
"banda, musica mexicana, norteno, sad sierreno",10
"spanish indie pop, spanish synthpop",10
"flamenco urbano, pop flamenco, spanish hip hop",10
"rap espanol, trap triste",10
spanish hip hop,10
"chicago rap, conscious hip hop, hip hop, pop rap, rap, trap",10
"lithuanian indie, lithuanian pop",10
"finnish death metal, finnish melodeath, groove metal, melodic death metal, metal, power metal, speed metal",10
"finnish metal, suomi rock",10
toronto rap,10
plugg francais,10
"desi hip hop, desi pop, hindi indie, indian edm, indian indie",10
j-rock,10
"kazakh hip hop, kazakh pop, q-pop",10
"lagu sabahan, malaysian pop",10
"dutch hip hop, moroccan pop",10
"arab pop, moroccan pop, rif",10
indie rock,10
"norwegian indie, norwegian pop, scandipop",10
"cubaton, modern salsa, reparto, salsa urbana",10
"opm, pinoy rock",10
"opm, pinoy hip hop, pinoy r&b",10
"deep neofolk, opm, pinoy r&b",10
polish trap,10
baroque pop,10
"czsk hip hop, czsk reggae",10
indie soul,10
"turkish jazz, turkish pop, turkish singer-songwriter",10
huzunlu sarkilar,10
"classic russian pop, russian pop",10
"singaporean mandopop, singaporean singer-songwriter, taiwan pop",10
"taiwan indie, taiwan pop, taiwan singer-songwriter",10
"thai folk rock, thai rock",10
"v-pop, vinahouse",10
"forro, piseiro, arrocha, seresta, sertanejo, brega",10
"malay, malay pop, malaysian pop, malay rap",10
"salsa, merengue, son cubano",10
"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",10
"punjabi hip hop, punjabi pop, desi hip hop, desi, hindi hip hop",10
"brazilian hip hop, boom bap, brazilian trap",10
"banda, norteno, grupera",10
fado,10
"indian indie, hindi indie",10
"dancehall, soca, afrobeats",10
"vietnamese hip hop, v-pop, vinahouse, vietnam indie",10
spanish-language reggae,10
"funk, brazilian funk",10
"progressive metal, metalcore",10
k-rock,10
"bacardi, gqom, amapiano",10
"k-rap, k-pop",10
"chilean mambo, reggaeton chileno, chilean trap, mambo, guaracha",10
"k-pop, noise music",10
"finnish pop, europop",10
"mandopop, c-pop, taiwanese pop, chinese r&b",10
"taiwanese pop, taiwanese indie, chinese indie",10
"east coast hip hop, old school hip hop, hardcore hip hop, hip hop, boom bap",10
"latin afrobeats, reggaeton, pop urbano",10
"reggaeton, pop urbano, latin, colombian pop",10
"hindi indie, indian indie, desi pop, hindi pop",10
synthpop,10
"french r&b, pop urbaine, afrobeats, afrobeat",10
"reggaeton chileno, chilean trap, chilean mambo, mambo, rkt, guaracha, turreo",10
"bollywood, indian indie, desi pop",10
"corrido, electro corridos, corridos belicos, corridos tumbados, dembow belico",10
"asakaa, ghanaian hip hop, hiplife, afrobeats, afrobeat, afropop, afro adura, afropiano",10
"soca, shatta",10
reggae en espanol,10
"norteno, ranchera, corrido, banda, cumbia nortena, grupera",10
"future house, deep house",10
"future house, big room, edm",10
"east coast hip hop, old school hip hop, hardcore hip hop, boom bap, hip hop",10
"classic oklahoma country, modern country pop",9
"banda, musica mexicana, norteno, sad sierreno, sierreno",9
"funk carioca, trap brasileiro",9
new wave pop,9
japanese electropop,9
brazilian gospel,9
"dance pop, girl group, pop",9
"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",9
"dance pop, pop, pop dance, pop rap",9
"argentine hip hop, rap conciencia, rap underground argentino",9
"alternative metal, alternative rock, grunge, permanent wave, rock",9
"modern alternative rock, modern rock, stomp pop",9
"latin alternative, latin rock, rock en espanol, spanish pop, spanish rock",9
"arrocha, batidao romantico",9
"melodic rap, rap",9
uk contemporary r&b,9
"dutch house, edm, electro house, melbourne bounce, melbourne bounce international, pop dance, progressive electro house",9
"swedish eurodance, swedish pop",9
"argentine rock, electronica argentina, latin alternative, latin rock, pop electronico, rock en espanol",9
"reggaeton flow, urbano latino",9
"pop rap, rap, southern hip hop, trap",9
"baton rouge rap, rap, southern hip hop, trap",9
"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",9
"british soul, neo mellow, scottish singer-songwriter",9
"german pop, modern rock",9
"chicago drill, chicago rap, drill, hip hop, rap, trap",9
"hands up, italo dance",9
"pop dance, pop edm",9
"pop rap, rap",9
"alt z, australian alternative pop, pop",9
"adult standards, easy listening",9
"rap canario, trap latino, urbano espanol",9
"deep euro house, new french touch",9
"disco house, edm, electro house, filter house, house, pop dance, vocal house",9
"turkish deep house, turkish edm",9
"flamenco urbano, pop flamenco, urbano espanol",9
"russian hip hop, zxc",9
"boy band, pop, post-teen pop, talent show",9
"norwegian pop, sami",9
"balkan beats, downtempo, electro swing, nu jazz",9
"german dance, hypertechno, slap house",9
"russian gangster rap, russian hip hop, russian reggae",9
"cumbia, vallenato",9
"funk carioca, funk mtg",9
"arrocha, arrochadeira, funk paulista, rave funk",9
"indietronica, metropopolis",9
"afghan rap, german hip hop, hamburg hip hop",9
"arabesk, deep turkish pop, turkish pop",9
"downtempo, electronica, indietronica, instrumental hip hop, jazztronica, nu jazz, trip hop",9
"art pop, electropop, indie poptimism, indietronica, shimmer pop",9
"german pop, german pop rock",9
"cueca chilena, folklore chileno",9
"merengue, salsa, tropical",9
"latin pop, puerto rican pop, salsa, salsa puertorriquena, tropical",9
"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",9
"talent show, uk pop",9
post-teen pop,9
basshall,9
"classic greek pop, greek pop, laiko",9
"canadian pop, canadian rock, pop quebecois",9
"indonesian hip hop, indonesian pop",9
"dutch pop, kermis",9
"birmingham grime, birmingham hip hop, birmingham indie, grime, uk hip hop",9
russian viral rap,9
"deep pop edm, melodipop",9
"deep german hip hop, german drill, german hip hop",9
"slovak pop, slovak rock",9
"mexican hip hop, rap conciencia",9
"epa dunk, swedish eurodance",9
"argentine rock, latin alternative, latin rock, post-punk argentina, rock en espanol",9
"cumbia, latin alternative, latin rock, pop electronico, tropical alternativo",9
"german pop, german r&b",9
"french hip hop, pop urbaine, rap congolais, rap francais",9
"grupera, gruperas inmortales, musica mexicana",9
"latin talent show, reggae catala",9
"rap politico, spanish hip hop, urbano espanol",9
"czech pop, slovak pop, slovak punk",9
arab pop,9
"egyptian trap, mahraganat",9
"canadian hip hop, toronto rap",9
"chicha, cumbia, cumbia salvadorena",9
"electropop, pop dance, pop edm",9
"latin christian, latin worship",9
hong kong indie,9
"hungarian pop, hungarian rock",9
"kollywood, tamil pop",9
"desi emo rap, desi hip hop",9
"desi hip hop, desi pop, desi trap, hindi hip hop",9
malayalam hip hop,9
"j-pop, japanese electropop, japanese r&b",9
"j-division, j-pop",9
anime,9
"south african house, south african pop, south african pop dance",9
"kizomba, musica angolana, portuguese pop, semba",9
"rai, rai algerien",9
"classic arab pop, moroccan pop, rai",9
carnaval,9
nz hip hop,9
"afrobeats, afropop, alte, azontobeats, nigerian pop",9
"norske viser, norwegian pop, talentkonkurranse",9
"nordnorsk musikk, russelater",9
nohay,9
"panamanian pop, tipico",9
"baroque pop, modern rock, neo mellow, uk alternative pop",9
"hip hop tuga, rap portuense",9
"hip hop tuga, rap angolano",9
"kizomba, musica angolana, portuguese pop",9
krushfunk,9
"czech rock, slovak punk, slovak rock",9
"afro soul, kwaito, south african pop",9
"amapiano, sgija, underground amapiano",9
korean trap,9
"k-rap, korean drill",9
"swedish pop, swedish singer-songwriter",9
mundart,9
"turkish pop, turkish punk, turkish rock",9
"karadeniz turkuleri, turkish pop",9
"melodic drill, uk drill, uk hip hop, uk melodic rap",9
"thai indie rock, thai rock",9
"piseiro, forro, sertanejo, arrocha, brega, seresta",9
"german pop, german hip hop",9
"brazilian funk, funk carioca",9
"sertanejo, sertanejo universitario, agronejo, piseiro, arrocha",9
"indonesian pop, malay",9
"gospel, worship, afrogospel",9
qawwali,9
"pinoy hip hop, pinoy r&b, opm",9
"norwegian rap, norwegian pop",9
