Genre,TrackCount
"moroccan rap, moroccan pop, arabic hip hop",103
"atl hip hop, melodic rap, rap, trap",102
urbano espanol,102
"hip hop, rap",101
"lithuanian hip hop, lithuanian pop",101
"finnish pop, iskelma",101
"detroit hip hop, hip hop, rap",100
"french hip hop, old school rap francais, pop urbaine, rap conscient",100
"trap latino, reggaeton, urbano latino",100
"trap latino, dembow, reggaeton, trap",100
merengue,99
"colombian pop, pop urbano",99
"panamanian pop, reggaeton, trap latino, urbano latino",98
"c-pop, mandopop, taiwan pop, zhongguo feng",98
"funk, funk rock",98
"cantopop, c-pop",96
japanese teen pop,95
"conscious hip hop, hip hop, pop rap, rap",93
"belgian hip hop, french hip hop, pop urbaine, r&b francais, rap belge, rap conscient",93
"agronejo, arrocha, musica tocantinense, sertanejo, sertanejo universitario",92
russian pop,92
magyar trap,92
"arrocha, sertanejo, sertanejo pop, sertanejo universitario",91
"pop urbaine, r&b francais",91
"italian hip hop, italian pop, rap genovese, trap italiana",91
"grime, uk hip hop",90
"polish pop, polish viral pop",90
nederpop,90
"chilean trap, reggaeton chileno, chilean mambo, mambo",90
"turkish alt pop, turkish rock",88
swedish trap pop,88
"polish drill, polish hip hop, polish trap",88
"dansk rap, dansktop, dansk pop",88
"trap latino, trap",88
"hungarian hip hop, magyar trap",87
"turkish hip hop, turkish pop",86
"v-pop, vietnamese singer-songwriter",86
"french rap, pop urbaine, french r&b",86
"corrido, corridos tumbados, corridos belicos, musica mexicana, sad sierreno, banda",86
"colombian pop, latin pop, reggaeton, reggaeton colombiano, urbano latino",85
"j-pop, japanese teen pop",85
"latin arena pop, latin pop, mexican pop",85
disco polo,85
"turkish pop, turkish rock",85
"melodic drill, uk hip hop",84
"italian adult pop, italian pop, rap napoletano, rome indie",84
"fotbollslatar, swedish idol pop, swedish pop, swedish pop rap",84
"italian hip hop, italian pop, rap napoletano, trap italiana",83
"k-pop, k-pop girl group, pop",83
k-pop boy group,83
thai pop,83
czech pop,83
"russian hip hop, russian pop",83
"pop, singer-songwriter pop, uk pop",82
"drill espanol, urbano espanol",82
