Genres,GenreCount,TrackCount
"corrido, corridos tumbados, corridos belicos, musica mexicana, sierreno, banda, sad sierreno, electro corridos",1,136
"israeli mediterranean, israeli pop, mizrahi",1,135
"gangsta rap, hip hop, pop rap, southern hip hop, trap",1,133
portuguese hip hop,1,133
"latin hip hop, puerto rican pop, reggaeton, trap latino, urbano latino",1,131
"czech pop, czsk hip hop",1,131
"pop, uk pop",1,130
afrobeats,1,130
"indie liguria, italian hip hop, italian pop, rap genovese, trap italiana",1,130
"arabic hip hop, french hip hop, pop urbaine",1,130
"mambo chileno, urbano chileno",1,129
latin pop,1,126
disco polo,1,126
portuguese pop,1,126
"czsk hip hop, slovak trap",1,126
"british, classic pop and rock, reggaeton, scotland, scottish, trap, trap latino, uk",1,126
"desi pop, filmi, modern bollywood",1,124
edm,1,124
"agronejo, arrocha, sertanejo, sertanejo pop, sertanejo universitario",1,122
"bulgarian hip hop, bulgarian pop",1,121
merengue,1,121
"arabic hip hop, moroccan pop, moroccan rap",1,121
"manele, trap",1,120
"canadian hip hop, canadian pop, hip hop, pop rap, rap",1,119
greek hip hop,1,119
"hungarian hip hop, hungarian pop",1,119
"electro latino, reggaeton, trap latino, urbano latino",1,118
"finnish pop, iskelma",1,118
"turkish hip hop, turkish pop",1,117
"norwegian hip hop, norwegian pop",1,117
"filmi, indian instrumental, modern bollywood",1,116
"drill francais, french hip hop, pop urbaine, rap francais, trap antillais",1,116
argentine rock,1,116
"reggaeton, latin",1,115
"trap latino, trap, dembow",1,113
"urbano latino, trap latino, reggaeton",1,112
"boy band, pop",1,111
italian pop,1,111
"argentine hip hop, trap argentino",1,111
nederpop,1,111
"bollywood, hindi pop, desi",1,111
"egyptian hip hop, arabic hip hop, egyptian pop, mahraganat",1,110
nz reggae,1,109
"icelandic hip hop, icelandic pop",1,109
k-ballad,1,109
"bachata, latin hip hop, latin pop, urbano latino",1,108
"latin, reggaeton",1,108
deep house,1,108
"dakke dak, danish hip hop, danish pop",1,108
"turkce drill, turkish hip hop, turkish trap",1,107
"pop, hip hop, spanish, latin, english, reggaeton, latin urban, latin trap, trap latino, reggaeton, trap latino, latin, urbano latino",1,106
"t-pop, thai indie pop",1,105
"reggaeton, trap latino, latin hip hop",1,105
hk-pop,1,104
"french hip hop, rap conscient",1,104
"balkan trap, bulgarian pop, bulgarian trap, chalga",1,104
french hip hop,1,104
hyperpop,1,104
"finnish pop, suomi rock",1,104
"moroccan rap, moroccan pop, arabic hip hop",1,104
"k-pop, k-pop boy group, pop",1,103
eletronic,1,103
"atl hip hop, melodic rap, rap, trap",1,102
urbano espanol,1,102
"country, country pop, racist",1,101
"lithuanian hip hop, lithuanian pop",1,101
"trap latino, reggaeton, urbano latino",1,101
"trap latino, dembow, reggaeton, trap",1,101
"detroit hip hop, hip hop, rap",1,100
"french hip hop, old school rap francais, pop urbaine, rap conscient",1,100
rai,1,99
"colombian pop, pop urbano",1,99
"4th gen k-pop, boy band, boy group, boysband, electropop, k-pop, noise music, pop rap, trap, trap edm",1,98
"panamanian pop, reggaeton, trap latino, urbano latino",1,98
"c-pop, mandopop, taiwan pop, zhongguo feng",1,98
"funk, funk rock",1,98
"+usa (new york:manhatten), 2010s, 2020s, alternative, alternative country, alternative pop, american, americana, art pop, ballad, chamber pop, dream pop, electronic, film soundtrack, hawaiian glam metal, indie pop, indie | dream-pop, karen, neo-psychedelia, next, pop, pop. alternative, question for the culture, remix, sad girl pop, sadcore, singer, singer-songwriter, trip hop, tumblr",2,97
reggaeton chileno,1,97
"cantopop, c-pop",1,96
"phonk, brazilian phonk",1,96
japanese teen pop,1,95
"conscious hip hop, hip hop, pop rap, rap",1,93
"belgian hip hop, french hip hop, pop urbaine, r&b francais, rap belge, rap conscient",1,93
"agronejo, arrocha, musica tocantinense, sertanejo, sertanejo universitario",1,92
russian pop,1,92
magyar trap,1,92
"alt-country, honky-tonk, country rock",1,91
"arrocha, sertanejo, sertanejo pop, sertanejo universitario",1,91
"pop urbaine, r&b francais",1,91
"italian hip hop, italian pop, rap genovese, trap italiana",1,91
salsa,1,91
bachata,1,91
"grime, uk hip hop",1,90
"polish pop, polish viral pop",1,90
"pagode, samba",1,90
"chilean trap, reggaeton chileno, chilean mambo, mambo",1,90
thai pop,1,89
pop urbaine,1,89
"dansk rap, dansktop, dansk pop",1,89
"trap latino, trap",1,89
"1, 1960s, 60s, 80s, a filk artist, abbey road, adult alternative pop rock, art pop, art rock, baroque pop, bbc, beat, beat music, blues rock, boys band, british, british invasion, british psychedelia, british rhythm & blues, britpop, classic pop and rock, classic rock, classical pop, english, europe, europop, experimental, experimental rock, favoritos, film soundtrack, folk pop, folk rock, folk-rock, get back, hair metal, hard rock, heavy metal, indie rock, instrumental pop, liverpool, mainstream rock, male vocalists, merseybeat, one beatles, orchestral, orchestral pop, overrated, parlophone, pop, pop rock, pop-metal, pop-rock, pop | garage, reino unido, rhythm & blues, rock, rock & roll, rock and roll, rock roll, singer songwriter, sunshine pop, the beatles-primal colours, the-beatles, tribute albums, uk, united kingdom | rock, progressive rock, psychedelia, psychedelic, psychedelic pop, psychedelic rock, psychedelic",3,88
"turkish alt pop, turkish rock",1,88
swedish trap pop,1,88
"polish drill, polish hip hop, polish trap",1,88
"hungarian hip hop, magyar trap",1,87
"norwegian hip hop, norwegian pop, russelater",1,87
"2000s, 2010s, american, antisemite, art pop, chipmunk soul, christian hip hop, conscious hip hop, electropop, english, experimental hip hop, fascist, gospel, grammy winner, hardcore hip hop, hip hop, hip hop rnb and dance hall, hip-hop, luxury rap, nazi, pop, pop rap, pro trump, producer, progressive rap, rap, rapper, relic inn, southern hip hop, synthpop, trap, us",1,86
"cuarteto, cumbia",1,86
pop punk,1,86
"v-pop, vietnamese singer-songwriter",1,86
"french rap, pop urbaine, french r&b",1,86
"corrido, corridos tumbados, corridos belicos, musica mexicana, sad sierreno, banda",1,86
"kizomba, kompa, kuduro, zouk",1,86
"colombian pop, latin pop, reggaeton, reggaeton colombiano, urbano latino",1,85
"j-pop, japanese teen pop",1,85
"latin arena pop, latin pop, mexican pop",1,85
schlager,1,85
"turkish pop, turkish rock",1,85
rock,1,85
kizomba,1,85
"alternative electronic, alternative hip hop, alternative pop, alternative rap, alternative rock, electropop, emo, hip hop, hip-hop, hip-hop | rap, indie, indie pop, indie rock, indietronica, piano rock, pop, pop rap, pop rock, rap, rap rock, rock",2,84
"folk pop, pop",1,84
"anime, j-pop",1,84
"melodic drill, uk hip hop",1,84
"italian adult pop, italian pop, rap napoletano, rome indie",1,84
"fotbollslatar, swedish idol pop, swedish pop, swedish pop rap",1,84
future house,1,84
"italian hip hop, italian pop, rap napoletano, trap italiana",1,83
"k-pop, k-pop girl group, pop",1,83
k-pop boy group,1,83
czech pop,1,83
"russian hip hop, russian pop",1,83
"thai hip hop, thai trap",1,83
"pop, singer-songwriter pop, uk pop",1,82
