RawGenre,NormalizedGenre,Reason,ResolvedTrackCount,TSOccurrenceCount,ArtistOccurrenceCount
eurovision 2023 artists,eurovision 2023 artists,editorial_or_metadata,60,0,208
messe h-moll,messe h-moll,editorial_or_metadata,54,0,237
use actual artists,use actual artists,editorial_or_metadata,49,0,50
series title as artist,series title as artist,editorial_or_metadata,42,0,187
eurovision 2022 artists,eurovision 2022 artists,editorial_or_metadata,37,0,177
album oriented rock,album oriented rock,editorial_or_metadata,35,0,41
fuzzy artist-series,fuzzy artist-series,editorial_or_metadata,33,0,140
id artist,id artist,editorial_or_metadata,26,0,28
collection,collection,editorial_or_metadata,23,0,53
messiah of rock and roll,messiah of rock and roll,editorial_or_metadata,23,0,54
phil collins hits cd2,phil collins hits cd2,editorial_or_metadata,21,0,26
50s,50s,decade_tag,20,0,50
not a bogus artist,not a bogus artist,editorial_or_metadata,16,0,17
azerbaijani female artist,azerbaijani female artist,editorial_or_metadata,14,0,15
oldest artist #4,oldest artist #4,editorial_or_metadata,12,0,13
fix whosampled dupe url,fix whosampled dupe url,editorial_or_metadata,8,0,80
mb artist credit,mb artist credit,editorial_or_metadata,7,0,47
wrong artist,wrong artist,editorial_or_metadata,6,0,6
need cleanup,need cleanup,editorial_or_metadata,5,0,40
#sb19,#sb19,below_min_track_count,4,0,24
#sb19poprise,#sb19poprise,below_min_track_count,4,0,24
#sb19ppoprise,#sb19ppoprise,below_min_track_count,4,0,24
2000s hong kong debut,2000s hong kong debut,below_min_track_count,4,0,18
72 meters,72 meters,below_min_track_count,4,0,6
80s pop,80s pop,below_min_track_count,4,0,10
absolute music,absolute music,below_min_track_count,4,0,6
abstract beats,abstract beats,below_min_track_count,4,4,0
acid breaks,acid breaks,below_min_track_count,4,0,6
add serie,add serie,below_min_track_count,4,0,5
adult orientated rock,adult orientated rock,below_min_track_count,4,0,6
afrikaans pop,afrikaans pop,below_min_track_count,4,1,5
ai generated,ai generated,below_min_track_count,4,0,4
ajab gazab,ajab gazab,below_min_track_count,4,0,7
alab,alab,below_min_track_count,4,0,24
all 5: dancers-choreographers,all 5: dancers-choreographers,below_min_track_count,4,0,24
all 5: singers-songwriters,all 5: singers-songwriters,below_min_track_count,4,0,24
all 5:dancers-choreographers,all 5:dancers-choreographers,below_min_track_count,4,0,24
alternative hard rock,alternative hard rock,below_min_track_count,4,0,8
alternative indy folk,alternative indy folk,below_min_track_count,4,0,14
alternative progressive,alternative progressive,below_min_track_count,4,0,30
amadeus quartet & emil gilels,amadeus quartet & emil gilels,below_min_track_count,4,0,5
ambient music,ambient music,below_min_track_count,4,0,6
american contemporary classical,american contemporary classical,below_min_track_count,4,4,0
animals,animals,below_min_track_count,4,0,20
anti-christian,anti-christian,below_min_track_count,4,0,4
anti-religion,anti-religion,below_min_track_count,4,0,7
antifa,antifa,below_min_track_count,4,0,76
antiviral pop,antiviral pop,below_min_track_count,4,4,0
arab groove,arab groove,below_min_track_count,4,4,0
arabic classical music,arabic classical music,below_min_track_count,4,0,10
atin,atin,below_min_track_count,4,0,24
audio engineer,audio engineer,below_min_track_count,4,0,15
australian psych,australian psych,below_min_track_count,4,4,0
background vocalist,background vocalist,below_min_track_count,4,0,21
bad,bad,below_min_track_count,4,0,5
balasevic,balasevic,below_min_track_count,4,0,4
balearic trance,balearic trance,below_min_track_count,4,0,4
balkan,balkan,below_min_track_count,4,0,4
balkan punk,balkan punk,below_min_track_count,4,4,0
band ok but the fans suck,band ok but the fans suck,below_min_track_count,4,0,24
barrel,barrel,below_min_track_count,4,0,14
becky hill,becky hill,below_min_track_count,4,0,20
belgian singer,belgian singer,below_min_track_count,4,0,5
best group in ph,best group in ph,below_min_track_count,4,0,24
best male performer,best male performer,below_min_track_count,4,0,24
biography,biography,below_min_track_count,4,0,15
bollywood playback,bollywood playback,below_min_track_count,4,0,8
boyband,boyband,below_min_track_count,4,0,26
braindance,braindance,below_min_track_count,4,1,4
brill building,brill building,below_min_track_count,4,0,41
brisbane hip hop,brisbane hip hop,below_min_track_count,4,4,0
brown-eyed soul,brown-eyed soul,below_min_track_count,4,0,16
burmese stereo,burmese stereo,below_min_track_count,4,0,5
businesspeople,businesspeople,below_min_track_count,4,0,5
campursari,campursari,below_min_track_count,4,4,4
canary islands,canary islands,below_min_track_count,4,0,18
canto popular uruguayo,canto popular uruguayo,below_min_track_count,4,4,0
cast,cast,below_min_track_count,4,0,4
chanson humoristique,chanson humoristique,below_min_track_count,4,4,0
chicago indie,chicago indie,below_min_track_count,4,4,0
chigaco blues,chigaco blues,below_min_track_count,4,0,7
chihuahua indie,chihuahua indie,below_min_track_count,4,4,0
chinese jazz,chinese jazz,below_min_track_count,4,4,0
choreographer,choreographer,below_min_track_count,4,0,24
christian jazz,christian jazz,below_min_track_count,4,1,3
christian liturgical music,christian liturgical music,below_min_track_count,4,0,4
classic french pop,classic french pop,below_min_track_count,4,4,0
classic persian pop,classic persian pop,below_min_track_count,4,2,2
classic polish pop,classic polish pop,below_min_track_count,4,4,0
classical era,classical era,below_min_track_count,4,4,0
classify,classify,below_min_track_count,4,4,0
clavieriste,clavieriste,below_min_track_count,4,0,14
cleaned up,cleaned up,below_min_track_count,4,0,4
country singer,country singer,below_min_track_count,4,0,6
country-rock,country-rock,below_min_track_count,4,0,7
countrygaze,countrygaze,below_min_track_count,4,4,0
crooners,crooners,below_min_track_count,4,0,9
crossover jazz,crossover jazz,below_min_track_count,4,0,19
cumbia amazonica,cumbia amazonica,below_min_track_count,4,4,0
czech alternative rap,czech alternative rap,below_min_track_count,4,4,0
dancehall guyanaise,dancehall guyanaise,below_min_track_count,4,4,0
danseband,danseband,below_min_track_count,4,4,0
dark cabaret,dark cabaret,below_min_track_count,4,4,0
dark clubbing,dark clubbing,below_min_track_count,4,4,0
death by sleeping pills,death by sleeping pills,below_min_track_count,4,0,8
desert blues,desert blues,below_min_track_count,4,0,4
designer graphique,designer graphique,below_min_track_count,4,0,16
detroit blues,detroit blues,below_min_track_count,4,0,7
digital hardcore,digital hardcore,below_min_track_count,4,3,1
dont hate them,dont hate them,below_min_track_count,4,0,24
drone metal,drone metal,below_min_track_count,4,0,7
drum & bass,drum & bass,below_min_track_count,4,0,4
dsds,dsds,below_min_track_count,4,0,33
dutch singer-songwriter,dutch singer-songwriter,below_min_track_count,4,4,0
early modern classical,early modern classical,below_min_track_count,4,4,0
