Genre,TrackCount,PrimaryFamily,PrimaryWeight,PrimaryConfidence,Reason
backstreet boys,454,,0.0,,no_primary_family
bareto,454,,0.0,,no_primary_family
basque,454,,0.0,,no_primary_family
bflaminio,454,,0.0,,no_primary_family
binaural beats,454,,0.0,,no_primary_family
bioshock soundtrack,454,soundtrack_stage,0.45,fallback,untrusted_fallback
birthday,454,,0.0,,no_primary_family
boot land,454,,0.0,,no_primary_family
casanovas,454,,0.0,,no_primary_family
cdnnnow128,454,,0.0,,no_primary_family
cdx,454,,0.0,,no_primary_family
celtic celebration,454,,0.0,,no_primary_family
chinese r&b,454,rnb_soul,0.45,fallback,untrusted_fallback
classique,454,,0.0,,no_primary_family
classwar karaoke,454,,0.0,,no_primary_family
cobles,454,,0.0,,no_primary_family
compilatie,454,,0.0,,no_primary_family
desperado,454,,0.0,,no_primary_family
dfree843,454,,0.0,,no_primary_family
die drei,454,,0.0,,no_primary_family
dresch,454,,0.0,,no_primary_family
educacion,454,,0.0,,no_primary_family
elc chritmas,454,,0.0,,no_primary_family
experience the classics,454,,0.0,,no_primary_family
fjord,454,,0.0,,no_primary_family
foreign language,454,,0.0,,no_primary_family
frederic chopin,454,,0.0,,no_primary_family
futebol,454,,0.0,,no_primary_family
gerard palaprat,454,,0.0,,no_primary_family
glass,454,,0.0,,no_primary_family
grase,454,,0.0,,no_primary_family
groom to the gallows,454,,0.0,,no_primary_family
healing sixes,454,,0.0,,no_primary_family
hemi-sync,454,,0.0,,no_primary_family
ibiza,454,,0.0,,no_primary_family
infantil,454,,0.0,,no_primary_family
john coltrane,454,,0.0,,no_primary_family
josquin,454,,0.0,,no_primary_family
jucanto,454,,0.0,,no_primary_family
kinderchore,454,,0.0,,no_primary_family
kinderliedjes kapiteinwinokio humo,454,,0.0,,no_primary_family
klaus baumgart,454,,0.0,,no_primary_family
la grande sophie,454,,0.0,,no_primary_family
leaving on a jet plan,454,,0.0,,no_primary_family
legion of von,454,,0.0,,no_primary_family
lil eazy-e,454,,0.0,,no_primary_family
liturgic,454,,0.0,,no_primary_family
liz,454,,0.0,,no_primary_family
liz andrade,454,,0.0,,no_primary_family
local music of iran,454,,0.0,,no_primary_family
los 24 grandes exitos de la zarzuela,454,,0.0,,no_primary_family
marilyn manson,454,,0.0,,no_primary_family
mary j blige,454,,0.0,,no_primary_family
mega,454,,0.0,,no_primary_family
michael jackson,454,,0.0,,no_primary_family
mimicking birds,454,,0.0,,no_primary_family
miroque,454,,0.0,,no_primary_family
mohsen namjoo,454,,0.0,,no_primary_family
montuno,454,,0.0,,no_primary_family
more 70,454,,0.0,,no_primary_family
my sharona,454,,0.0,,no_primary_family
ncs,454,,0.0,,no_primary_family
nederlands,454,,0.0,,no_primary_family
new generations,454,,0.0,,no_primary_family
new generations philip glass,454,,0.0,,no_primary_family
niroshima,454,,0.0,,no_primary_family
nitzer ebb,454,,0.0,,no_primary_family
nox,454,,0.0,,no_primary_family
number 1,454,,0.0,,no_primary_family
orthodox,454,,0.0,,no_primary_family
papeete,454,,0.0,,no_primary_family
pavarotti,454,,0.0,,no_primary_family
piosenka poetycka muzyka autorska,454,,0.0,,no_primary_family
pzzqxnzt6snn ekrngheoblbupu-,454,,0.0,,no_primary_family
razieq,454,,0.0,,no_primary_family
rhythm del mundo,454,,0.0,,no_primary_family
ronak bhatt,454,,0.0,,no_primary_family
shankar jaikishan,454,,0.0,,no_primary_family
shine 4,454,,0.0,,no_primary_family
shwetabh sucks,454,,0.0,,no_primary_family
sonic seducer cold hands vi,454,,0.0,,no_primary_family
soul cargo,454,rnb_soul,0.45,fallback,untrusted_fallback
sprechgesang,454,,0.0,,no_primary_family
sunshine,454,,0.0,,no_primary_family
the welcome committee,454,,0.0,,no_primary_family
trikitixa,454,,0.0,,no_primary_family
tunguska chillout grooves,454,,0.0,,no_primary_family
ultimatecore,454,,0.0,,no_primary_family
ussr ministry of culture chamber choir,454,,0.0,,no_primary_family
venezolana,454,,0.0,,no_primary_family
vera kaa,454,,0.0,,no_primary_family
visions,454,,0.0,,no_primary_family
volkstumliche musik,454,,0.0,,no_primary_family
wireharp,454,,0.0,,no_primary_family
z103 5 street mix 2k7,454,,0.0,,no_primary_family
zero t 51,454,,0.0,,no_primary_family
zweiohr,454,,0.0,,no_primary_family
ƒk₷m€,454,,0.0,,no_primary_family
мелодии рождества,454,,0.0,,no_primary_family
嫌われ松子の歌たち,454,,0.0,,no_primary_family
s.a. souvenirs,446,,0.0,,no_primary_family
chanson,439,,0.0,,no_primary_family
big room,437,,0.0,,no_primary_family
coupe decale,434,african,0.45,fallback,untrusted_fallback
rumba congolaise,431,african,0.45,fallback,untrusted_fallback
uk dance,428,,0.0,,no_primary_family
pop urbano,425,pop,0.45,fallback,untrusted_fallback
taiwan singer-songwriter,415,country_folk,0.45,fallback,untrusted_fallback
hardcore hip,413,metal,0.45,fallback,untrusted_fallback
trap soul,413,hip_hop,0.45,fallback,untrusted_fallback
